DBN,Year,Number Tested,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %
07X223,2009,440,2.7,11.8,68,17.5,85.5
07X223,2010,444,7.2,24.8,42.8,25.2,68
07X223,2011,459,5.2,32.9,42.5,19.4,61.9
07X224,2006,466,43.6,43.6,12.4,0.4,12.9
07X224,2007,358,32.4,57.3,10.3,0,10.3
07X224,2008,319,14.4,44.8,39.5,1.3,40.8
07X224,2009,339,3.2,37.8,55.8,3.2,59
07X224,2010,345,19.7,59.4,17.1,3.8,20.9
07X224,2011,364,33.5,52.2,13.7,0.5,14.3
07X277,2006,235,20.4,32.3,40.4,6.8,47.2
07X277,2007,250,16,32.8,44.8,6.4,51.2
07X277,2008,249,8.4,28.5,57.8,5.2,63.1
07X277,2009,240,6.7,18.8,63.8,10.8,74.6
07X277,2010,244,20.9,54.5,20.9,3.7,24.6
07X277,2011,259,21.2,53.3,23.2,2.3,25.5
07X296,2006,102,54.9,38.2,6.9,0,6.9
07X296,2007,201,28.4,51.7,19.4,0.5,19.9
07X296,2008,254,23.2,52.4,23.6,0.8,24.4
07X296,2009,235,6.8,36.2,54.5,2.6,57
07X296,2010,213,15,59.6,19.7,5.6,25.4
07X296,2011,254,12.2,48,32.3,7.5,39.8
07X298,2006,100,46,36,17,1,18
07X298,2007,197,22.3,46.2,30.5,1,31.5
07X298,2008,268,19.4,50.4,28.7,1.5,30.2
07X298,2009,244,11.9,33.6,52.5,2,54.5
07X298,2010,212,24.1,50.9,17.9,7.1,25
07X298,2011,233,19.3,42.5,26.6,11.6,38.2
07X343,2007,214,21.5,42.1,35,1.4,36.4
07X343,2008,264,7.6,34.5,53,4.9,58
07X343,2009,253,1.6,22.1,69.2,7.1,76.3
07X343,2010,225,10.7,42.7,36,10.7,46.7
07X343,2011,229,9.6,43.2,33.2,14,47.2
07X369,2009,97,1,25.8,67,6.2,73.2
07X369,2010,108,20.4,53.7,21.3,4.6,25.9
07X369,2011,109,25.7,49.5,23.9,0.9,24.8
07X385,2009,281,12.1,28.8,54.4,4.6,59.1
07X385,2010,288,29.5,50.7,17,2.8,19.8
07X385,2011,265,36.2,49.4,13.2,1.1,14.3
07X500,2006,144,24.3,43.8,31.9,0,31.9
07X500,2007,185,15.7,45.4,37.3,1.6,38.9
07X500,2008,175,5.7,35.4,53.7,5.1,58.9
07X500,2009,209,4.8,15.3,70.8,9.1,79.9
07X500,2010,227,11,30.4,37.4,21.1,58.6
07X500,2011,240,9.2,31.3,39.6,20,59.6
07X551,2008,85,8.2,23.5,63.5,4.7,68.2
07X551,2009,163,4.3,21.5,63.8,10.4,74.2
07X551,2010,232,15.9,43.5,32.8,7.8,40.5
07X551,2011,221,12.7,42.5,36.2,8.6,44.8
08X014,2006,252,6.7,16.3,56.3,20.6,77
08X014,2007,256,4.7,17.2,58.2,19.9,78.1
08X014,2008,259,1.9,10.8,68.7,18.5,87.3
08X014,2009,276,0,5.4,64.5,30.1,94.6
08X014,2010,289,4.5,33.2,41.5,20.8,62.3
08X014,2011,320,4.4,36.6,43.8,15.3,59.1
08X036,2006,280,5.7,19.3,58.2,16.8,75
08X036,2007,262,5,8.8,56.1,30.2,86.3
08X036,2008,281,2.5,8.2,58.7,30.6,89.3
08X036,2009,299,0.3,3.3,57.9,38.5,96.3
08X036,2010,329,5.2,30.7,41.9,22.2,64.1
08X036,2011,348,3.7,31.6,47.4,17.2,64.7
08X048,2006,370,13,20.3,50.5,16.2,66.8
08X048,2007,468,12.2,20.9,54.5,12.4,66.9
08X048,2008,409,6.8,13.9,64.5,14.7,79.2
08X048,2009,391,2.3,12,69.3,16.4,85.7
08X048,2010,407,11.5,42,36.1,10.3,46.4
08X048,2011,369,9.8,44.4,38.2,7.6,45.8
08X062,2006,242,13.2,31,47.5,8.3,55.8
08X062,2007,337,9.5,27,53.4,10.1,63.5
08X062,2008,327,4,18,63.9,14.1,78
08X062,2009,321,2.8,13.1,66,18.1,84.1
08X062,2010,325,13.5,43.1,30.5,12.9,43.4
08X062,2011,314,11.8,41.4,35.4,11.5,46.8
08X069,2006,172,4.7,7,52.3,36,88.4
08X069,2007,172,1.7,4.7,53.5,40.1,93.6
08X069,2008,250,2.4,4.4,60.8,32.4,93.2
08X069,2009,264,0.8,3.8,62.1,33.3,95.5
08X069,2010,281,3.2,22.8,44.5,29.5,74
08X069,2011,321,5.9,21.2,47,25.9,72.9
08X071,2006,589,9.7,18.5,53.7,18.2,71.8
08X071,2007,749,5.6,17.9,60.5,16,76.5
08X071,2008,892,3.7,11.9,62.1,22.3,84.4
08X071,2009,970,1.4,9,59.4,30.2,89.6
08X071,2010,1021,5.7,28.3,37.7,28.3,66
08X071,2011,1071,3.9,25.9,45.6,24.6,70.2
08X072,2006,481,12.9,22,45.1,20,65.1
08X072,2007,436,7.3,23.2,50,19.5,69.5
08X072,2008,420,7.6,17.6,54.8,20,74.8
08X072,2009,441,2.3,13.8,60.5,23.4,83.9
08X072,2010,440,10.5,43.4,33.4,12.7,46.1
08X072,2011,422,12.8,45.7,31.8,9.7,41.5
08X075,2006,381,19.4,32.8,42.3,5.5,47.8
08X075,2007,384,10.4,26.6,51,12,63
08X075,2008,327,6.4,18.7,64.5,10.4,74.9
08X075,2009,316,3.5,8.5,69.3,18.7,88
08X075,2010,293,9.2,33.4,38.6,18.8,57.3
08X075,2011,279,8.2,36.6,41.2,14,55.2
08X093,2006,291,18.9,26.1,47.8,7.2,55
08X093,2007,181,18.8,26,46.4,8.8,55.2
08X093,2008,150,11.3,16,59.3,13.3,72.7
08X093,2009,126,8.7,15.1,50,26.2,76.2
08X093,2010,151,11.9,39.7,38.4,9.9,48.3
08X093,2011,159,12.6,30.2,46.5,10.7,57.2
08X100,2006,295,3.7,14.2,63.7,18.3,82
08X100,2007,269,4.1,12.6,58,25.3,83.3
08X100,2008,368,2.7,10.9,69.3,17.1,86.4
08X100,2009,348,1.4,10.1,68.4,20.1,88.5
08X100,2010,367,10.1,40.9,38.1,10.9,49
08X100,2011,330,8.2,33,46.4,12.4,58.8
08X101,2006,573,0.3,8.2,74,17.5,91.4
08X101,2007,578,0.2,3.8,64.4,31.7,96
08X101,2008,438,0,2.3,46.6,51.1,97.7
08X101,2009,481,0.2,4.2,55.5,40.1,95.6
08X101,2010,465,1.3,18.3,36.3,44.1,80.4
08X101,2011,457,2.2,21,38.1,38.7,76.8
08X107,2006,338,21,30.8,38.2,10.1,48.2
08X107,2007,312,10.9,27.2,49.4,12.5,61.9
08X107,2008,293,5.5,24.2,56.7,13.7,70.3
08X107,2009,272,5.1,21.3,55.1,18.4,73.5
08X107,2010,251,26.3,48.2,19.5,6,25.5
08X107,2011,246,27.2,45.9,24.4,2.4,26.8
08X119,2006,288,10.1,17.7,49.3,22.9,72.2
08X119,2007,277,6.1,10.8,52,31,83
08X119,2008,409,4.4,12.2,58.4,24.9,83.4
08X119,2009,404,2.2,9.2,58.2,30.4,88.6
08X119,2010,455,11.9,33.4,33.6,21.1,54.7
08X119,2011,436,10.6,28,41.5,20,61.5
08X123,2006,531,28.1,37.5,31.8,2.6,34.5
08X123,2007,532,14.7,44.2,38,3.2,41.2
08X123,2008,550,10.9,37.3,48,3.8,51.8
08X123,2009,517,4.6,26.5,62.1,6.8,68.9
08X123,2010,515,15.3,44.1,33,7.6,40.6
08X123,2011,502,16.3,41.8,32.9,9,41.8
08X125,2006,938,22.9,33.3,35.2,8.6,43.8
08X125,2007,927,14.1,31.7,41.1,13.1,54.2
08X125,2008,744,12.2,27,50.1,10.6,60.8
08X125,2009,705,6.8,28.5,54.2,10.5,64.7
08X125,2010,682,19.1,45,23.2,12.8,35.9
08X125,2011,644,19.4,47.5,26.2,6.8,33.1
08X130,2006,221,13.1,21.3,54.8,10.9,65.6
08X130,2007,326,13.5,27.9,45.7,12.9,58.6
08X130,2008,336,7.4,18.2,63.7,10.7,74.4
08X130,2009,285,3.5,19.6,60.4,16.5,76.8
08X130,2010,282,13.5,55,25.2,6.4,31.6
08X130,2011,253,13.8,48.6,32.8,4.7,37.5
08X131,2006,1186,18,42.7,36.3,3,39.3
08X131,2007,1137,12,35.5,45.5,7,52.5
08X131,2008,849,6.5,31.8,55,6.7,61.7
08X131,2009,874,4.2,24.7,63.3,7.8,71.1
08X131,2010,867,19.5,47.9,24.2,8.4,32.6
08X131,2011,834,18,52.4,25.1,4.6,29.6
08X138,2006,330,8.2,23.3,51.5,17,68.5
08X138,2007,312,6.7,17.6,51.9,23.7,75.6
08X138,2008,468,2.6,16,61.3,20.1,81.4
08X138,2009,473,3.2,11.2,62.6,23,85.6
08X138,2010,471,9.3,42.9,31.4,16.3,47.8
08X138,2011,473,7.8,41.6,40,10.6,50.5
08X140,2006,243,14.4,27.2,44.9,13.6,58.4
08X140,2007,205,10.2,27.3,45.9,16.6,62.4
08X140,2008,226,8,19.9,55.3,16.8,72.1
08X140,2009,251,3.6,10.8,61.4,24.3,85.7
08X140,2010,256,10.5,43.8,38.3,7.4,45.7
08X140,2011,267,15,41.6,36.7,6.7,43.4
08X146,2006,183,14.2,27.9,48.6,9.3,57.9
08X146,2007,191,7.9,23,61.8,7.3,69.1
08X146,2008,194,3.1,15.5,63.9,17.5,81.4
08X146,2009,195,2.6,10.8,60,26.7,86.7
08X146,2010,189,9.5,42.3,33.9,14.3,48.1
08X146,2011,207,12.1,45.9,33.3,8.7,42
08X152,2006,409,20.5,28.6,47.4,3.4,50.9
08X152,2007,405,11.4,24.7,51.6,12.3,64
08X152,2008,411,7.5,15.1,66.4,10.9,77.4
08X152,2009,433,6.2,9.5,60.5,23.8,84.3
08X152,2010,405,10.4,35.8,35.6,18.3,53.8
08X152,2011,393,9.2,30.3,49.4,11.2,60.6
08X182,2006,259,3.5,10.4,64.1,22,86.1
08X182,2007,376,6.1,15.2,61.2,17.6,78.7
08X182,2008,431,2.3,11.8,64.5,21.3,85.8
08X182,2009,477,2.5,7.3,60.6,29.6,90.1
08X182,2010,490,4.1,31.4,44.1,20.4,64.5
08X182,2011,461,5,40.1,43,11.9,54.9
08X269,2006,152,26.3,40.8,32.9,0,32.9
08X269,2007,181,15.5,44.2,35.4,5,40.3
08X269,2008,197,8.1,31.5,54.3,6.1,60.4
08X269,2009,192,3.1,20.8,69.8,6.3,76
08X269,2010,168,16.1,47,32.1,4.8,36.9
08X269,2011,193,16.1,47.7,32.6,3.6,36.3
08X301,2006,474,39,44.1,16.5,0.4,16.9
08X301,2007,412,27.9,42.2,27.4,2.4,29.9
08X301,2008,328,12.5,37.2,48.8,1.5,50.3
08X301,2009,342,7.6,41.5,47.4,3.5,50.9
08X301,2010,306,24.5,59.2,13.1,3.3,16.3
08X301,2011,328,23.8,48.8,25.3,2.1,27.4
08X302,2006,1138,22.6,43.6,31.1,2.7,33.8
08X302,2007,843,16.6,42.3,37.7,3.3,41
08X302,2008,774,9.6,34.5,51,4.9,55.9
08X302,2009,735,4.4,26.8,62.2,6.7,68.8
08X302,2010,739,15,43.2,30.9,11,41.8
08X302,2011,689,13.1,35.3,40.6,11,51.7
08X304,2006,215,10.7,14.9,47,27.4,74.4
08X304,2007,192,5.2,9.9,52.1,32.8,84.9
08X304,2008,219,1.8,1.8,44.7,51.6,96.3
08X304,2009,227,0.4,2.2,36.1,61.2,97.4
08X304,2010,218,3.2,13.3,43.6,39.9,83.5
08X304,2011,223,3.1,17,48.4,31.4,79.8
08X333,2006,120,17.5,21.7,52.5,8.3,60.8
08X333,2007,123,7.3,13.8,61,17.9,78.9
08X333,2008,85,7.1,10.6,56.5,25.9,82.4
08X333,2009,102,1,13.7,79.4,5.9,85.3
08X333,2010,104,20.2,49,22.1,8.7,30.8
08X333,2011,155,11.6,45.2,37.4,5.8,43.2
08X335,2006,212,29.2,36.8,32.5,1.4,34
08X335,2007,219,16,29.7,49.8,4.6,54.3
08X335,2008,214,9.8,28.5,54.7,7,61.7
08X335,2009,182,5.5,14.3,54.9,25.3,80.2
08X335,2010,198,14.1,34.8,31.3,19.7,51
08X335,2011,145,8.3,35.9,40.7,15.2,55.9
08X337,2006,175,11.4,45.7,40,2.9,42.9
08X337,2007,262,8.8,39.7,45.8,5.7,51.5
08X337,2008,260,7.3,31.9,53.8,6.9,60.8
08X337,2009,276,3.6,22.8,66.3,7.2,73.6
08X337,2010,271,8.5,46.9,28,16.6,44.6
08X337,2011,246,8.9,34.1,44.7,12.2,56.9
08X366,2008,92,3.3,25,60.9,10.9,71.7
08X366,2009,220,5,25.5,65.5,4.1,69.5
08X366,2010,354,25.7,52.5,20.1,1.7,21.8
08X366,2011,310,14.5,53.5,30.3,1.6,31.9
08X367,2008,100,10,45,44,1,45
08X367,2009,209,5.7,31.6,60.3,2.4,62.7
08X367,2010,293,24.6,51.9,19.8,3.8,23.5
08X367,2011,280,12.9,45,33.9,8.2,42.1
08X371,2008,126,1.6,15.1,69.8,13.5,83.3
08X371,2009,289,3.1,16.3,66.1,14.5,80.6
08X371,2010,377,10.6,36.3,38.2,14.9,53.1
08X371,2011,331,14.5,30.8,36.6,18.1,54.7
08X375,2008,124,8.1,38.7,50.8,2.4,53.2
08X375,2009,321,6.9,35.8,53,4.4,57.3
08X375,2010,408,22.5,44.9,24.5,8.1,32.6
08X375,2011,400,24.3,48,24,3.8,27.8
08X376,2008,99,8.1,33.3,55.6,3,58.6
08X376,2009,165,4.2,19.4,64.8,11.5,76.4
08X376,2010,268,13.1,45.5,29.9,11.6,41.4
08X376,2011,270,10.7,39.3,38.9,11.1,50
08X424,2009,372,9.4,40.9,47.6,2.2,49.7
08X424,2010,388,22.7,44.8,30.4,2.1,32.5
08X424,2011,384,22.7,43,31.5,2.9,34.4
08X448,2010,128,12.5,55.5,25.8,6.3,32
08X448,2011,214,20.6,51.4,23.8,4.2,28
08X467,2010,80,6.3,36.3,31.3,26.3,57.5
08X467,2011,170,9.4,38.2,34.1,18.2,52.4
09X002,2006,215,26,34.4,33,6.5,39.5
09X002,2007,174,23,28.2,37.9,10.9,48.9
09X002,2008,151,13.9,27.2,50.3,8.6,58.9
09X002,2009,138,6.5,20.3,64.5,8.7,73.2
09X002,2010,135,24.4,49.6,21.5,4.4,25.9
09X002,2011,77,16.9,55.8,24.7,2.6,27.3
09X004,2006,401,30.9,32.4,30.2,6.5,36.7
09X004,2007,369,20.9,35.2,35.5,8.4,43.9
09X004,2008,334,9.9,30.2,49.7,10.2,59.9
09X004,2009,318,3.1,14.2,60.1,22.6,82.7
09X004,2010,256,10.5,47.3,30.5,11.7,42.2
09X004,2011,252,10.7,44.4,37.3,7.5,44.8
09X011,2006,268,14.9,25.7,52.2,7.1,59.3
09X011,2007,270,11.1,23.7,55.9,9.3,65.2
09X011,2008,278,8.6,22.7,61.5,7.2,68.7
09X011,2009,248,4.4,17.7,69.8,8.1,77.8
09X011,2010,234,16.2,50.9,27.8,5.1,32.9
09X011,2011,345,18.3,49.3,27.2,5.2,32.5
09X022,2006,677,46.1,37.1,16.2,0.6,16.8
09X022,2007,679,26.4,41.7,30,1.9,32
09X022,2008,648,21,43.5,33.6,1.9,35.5
09X022,2009,598,10.9,42.5,43,3.7,46.7
09X022,2010,655,28.1,51.6,14.7,5.6,20.3
09X022,2011,594,27.4,51.2,18.9,2.5,21.4
09X028,2006,482,16.4,34,44.8,4.8,49.6
09X028,2007,435,9.7,27.6,56.3,6.4,62.8
09X028,2008,398,6.3,21.9,65.3,6.5,71.9
09X028,2009,368,4.3,10.6,70.9,14.1,85.1
09X028,2010,387,7.5,46.8,35.4,10.3,45.7
09X028,2011,388,8.2,47.2,37.4,7.2,44.6
09X035,2006,304,3.9,15.8,61.2,19.1,80.3
09X035,2007,287,6.6,13.9,51.2,28.2,79.4
09X035,2008,288,3.8,11.1,64.9,20.1,85.1
09X035,2009,269,3,3.3,66.9,26.8,93.7
09X035,2010,369,6.5,39.3,33.1,21.1,54.2
09X035,2011,352,5.1,31.3,44.9,18.8,63.6
09X042,2006,262,16.8,20.2,46.2,16.8,63
09X042,2007,234,14.1,23.9,46.2,15.8,62
09X042,2008,229,2.6,17,61.6,18.8,80.3
09X042,2009,261,5,13.4,62.5,19.2,81.6
09X042,2010,268,13.4,46.6,29.1,10.8,39.9
09X042,2011,258,10.1,38,39.9,12,51.9
09X053,2006,773,16.4,31,45.7,6.9,52.5
09X053,2007,700,7,24.6,58,10.4,68.4
09X053,2008,655,3.2,18,66.7,12.1,78.8
09X053,2009,640,1.3,10.2,62.3,26.3,88.6
09X053,2010,660,10.8,46.4,25.8,17.1,42.9
09X053,2011,650,5.8,32.2,46.6,15.4,62
09X055,2006,319,20.7,33.9,38.2,7.2,45.5
09X055,2007,314,13.4,23.9,50.6,12.1,62.7
09X055,2008,312,5.1,14.4,68.3,12.2,80.4
09X055,2009,283,5.3,11.7,66.1,17,83
09X055,2010,336,17,47,28.6,7.4,36
09X055,2011,327,16.5,49.5,29.1,4.9,33.9
09X058,2006,409,29.6,38.9,28.6,2.9,31.5
09X058,2007,267,15,26.2,50.9,7.9,58.8
09X058,2008,263,6.5,20.2,66.5,6.8,73.4
09X058,2009,309,7.4,22.3,61.2,9.1,70.2
09X058,2010,334,14.1,50.3,27.5,8.1,35.6
09X058,2011,265,15.5,51.7,29.8,3,32.8
09X063,2006,208,15.9,28.8,49.5,5.8,55.3
09X063,2007,199,4,20.6,58.8,16.6,75.4
09X063,2008,193,0.5,6.2,69.9,23.3,93.3
09X063,2009,207,1.4,3.9,59.9,34.8,94.7
09X063,2010,196,4.6,25.5,38.8,31.1,69.9
09X063,2011,214,1.9,21,60.3,16.8,77.1
09X064,2006,504,22.8,28.2,42.1,6.9,49
09X064,2007,493,14.6,32.3,44.2,8.9,53.1
09X064,2008,463,8.9,19,64.8,7.3,72.1
09X064,2009,436,5.5,22.9,62.4,9.2,71.6
09X064,2010,424,16.7,54.2,23.8,5.2,29
09X064,2011,422,25.8,51.2,21.1,1.9,23
09X070,2006,870,16.9,29,42.8,11.4,54.1
09X070,2007,828,10.1,26.4,53.3,10.1,63.4
09X070,2008,767,6,18.8,62.6,12.6,75.2
09X070,2009,742,3.9,17.5,65,13.6,78.6
09X070,2010,720,16.9,51.9,25,6.1,31.1
09X070,2011,699,14.4,45.5,33.8,6.3,40.1
09X073,2006,403,35.2,33.5,28.5,2.7,31.3
09X073,2007,385,21.3,30.1,43.1,5.5,48.6
09X073,2008,351,15.7,29.3,49.3,5.7,55
09X073,2009,378,6.3,24.6,57.9,11.1,69
09X073,2010,415,24.1,44.1,27.5,4.3,31.8
09X073,2011,398,16.8,50.5,29.1,3.5,32.7
09X088,2006,91,8.8,28.6,47.3,15.4,62.6
09X088,2007,71,1.4,9.9,70.4,18.3,88.7
09X088,2008,67,7.5,10.4,59.7,22.4,82.1
09X088,2009,55,0,7.3,72.7,20,92.7
09X088,2010,59,3.4,30.5,47.5,18.6,66.1
09X088,2011,57,5.3,22.8,61.4,10.5,71.9
09X090,2006,566,21.9,31.4,41.2,5.5,46.6
09X090,2007,509,14.1,26.7,49.1,10,59.1
09X090,2008,430,5.1,18.8,67.7,8.4,76
09X090,2009,416,3.6,12.7,68.5,15.1,83.7
09X090,2010,414,18.8,56,21.3,3.9,25.1
09X090,2011,170,8.8,55.3,31.2,4.7,35.9
09X109,2006,345,19.7,27.5,42.9,9.9,52.8
09X109,2007,316,10.1,20.9,49.7,19.3,69
09X109,2008,300,4.3,14.3,62,19.3,81.3
09X109,2009,308,2.3,7.1,63,27.6,90.6
09X109,2010,309,6.1,33.3,42.7,17.8,60.5
09X109,2011,340,5.3,37.1,42.4,15.3,57.6
09X110,2006,239,22.2,33.9,41,2.9,43.9
09X110,2007,236,16.5,31.8,45.3,6.4,51.7
09X110,2008,183,5.5,21.3,61.7,11.5,73.2
09X110,2009,173,1.2,11,68.8,19.1,87.9
09X110,2010,180,5,40.6,42.2,12.2,54.4
09X110,2011,195,2.1,41.5,50.8,5.6,56.4
09X114,2006,308,11.4,34.1,48.1,6.5,54.5
09X114,2007,304,5.9,26,56.9,11.2,68.1
09X114,2008,282,4.3,22.3,62.8,10.6,73.4
09X114,2009,315,2.5,14,63.5,20,83.5
09X114,2010,315,22.2,47.6,23.2,7,30.2
09X114,2011,456,21.5,50.2,25.4,2.9,28.3
09X117,2006,1051,30.4,44.6,24.3,0.7,24.9
09X117,2007,1024,24,45,28.4,2.5,31
09X117,2008,887,10.8,39.1,43.1,7,50.1
09X117,2009,846,8.5,26.2,55.9,9.3,65.2
09X117,2010,776,22,43.6,24.2,10.2,34.4
09X117,2011,753,23.1,43.8,27.1,6,33.1
09X126,2006,444,18.9,38.7,40.1,2.3,42.3
09X126,2007,426,12.2,30.8,45.3,11.7,57
09X126,2008,442,6.8,24.2,60.9,8.1,69
09X126,2009,451,4.9,16.9,64.5,13.7,78.3
09X126,2010,436,10.1,50,28.4,11.5,39.9
09X126,2011,408,10.5,44.6,39.2,5.6,44.9
09X128,2006,234,5.6,28.6,58.1,7.7,65.8
09X128,2007,247,1.6,16.6,59.5,22.3,81.8
09X128,2008,273,0.4,7.7,69.2,22.7,91.9
09X128,2009,285,0,6,70.5,23.5,94
09X128,2010,300,3,27.7,40.3,29,69.3
09X128,2011,322,2.5,18.3,47.2,32,79.2
09X132,2006,295,27.5,29.8,32.9,9.8,42.7
09X132,2007,277,19.1,28.9,41.9,10.1,52
09X132,2008,265,14.7,18.1,58.5,8.7,67.2
09X132,2009,280,8.2,21.8,60.7,9.3,70
09X132,2010,258,23.3,45,25.6,6.2,31.8
09X132,2011,247,21.5,46.2,29.1,3.2,32.4
09X145,2006,528,33.5,40.3,24.4,1.7,26.1
09X145,2007,491,19.6,47,31.2,2.2,33.4
09X145,2008,457,12.7,38.7,44,4.6,48.6
09X145,2009,446,6.7,31.8,54.7,6.7,61.4
09X145,2010,457,21.4,56.7,18.8,3.1,21.9
09X145,2011,446,22.2,53.6,21.5,2.7,24.2
09X163,2006,326,18.4,30.4,47.2,4,51.2
09X163,2007,337,10.7,35.9,47.2,6.2,53.4
09X163,2008,323,4.6,19.5,69.3,6.5,75.9
09X163,2009,313,2.2,11.8,68.1,17.9,85.9
09X163,2010,317,12.3,45.7,34.1,7.9,42
09X163,2011,326,9.2,53.7,32.2,4.9,37.1
09X166,2006,1033,37.9,39.7,21.4,1.1,22.5
09X166,2007,972,27.2,40.9,30.1,1.7,31.9
09X166,2008,908,17.5,42.8,36.7,3,39.6
09X166,2009,776,9.9,33.9,50.6,5.5,56.2
09X166,2010,402,26.9,49.8,19.4,4,23.4
09X166,2011,172,16.9,40.7,37.8,4.7,42.4
09X199,2006,360,9.4,24.4,55.8,10.3,66.1
09X199,2007,324,5.6,22.5,56.2,15.7,71.9
09X199,2008,333,5.4,20.1,59.5,15,74.5
09X199,2009,323,1.5,13,61.9,23.5,85.4
09X199,2010,344,7.6,36,35.8,20.6,56.4
09X199,2011,359,8.4,33.4,45.1,13.1,58.2
09X204,2006,192,1,7.8,55.2,35.9,91.1
09X204,2007,193,1,5.7,54.9,38.3,93.3
09X204,2008,164,1.2,3,63.4,32.3,95.7
09X204,2009,152,0,2.6,47.4,50,97.4
09X204,2010,132,1.5,26.5,41.7,30.3,72
09X204,2011,177,1.7,28.2,53.7,16.4,70.1
09X215,2006,262,8,35.1,55,1.9,56.9
09X215,2007,246,3.3,19.9,63.4,13.4,76.8
09X215,2008,286,1,15,66.4,17.5,83.9
09X215,2009,370,1.9,9.5,62.2,26.5,88.6
09X215,2010,426,5.9,32.9,38.3,23,61.3
09X215,2011,423,3.8,31.4,43.5,21.3,64.8
09X218,2006,650,12.5,33.5,48.2,5.8,54
09X218,2007,654,4.7,23.4,60.4,11.5,71.9
09X218,2008,644,3.4,21,63.7,12,75.6
09X218,2009,626,2.4,13.9,62,21.7,83.7
09X218,2010,539,6.5,35.3,35.4,22.8,58.3
09X218,2011,486,4.5,36,44.2,15.2,59.5
09X219,2006,608,41.8,40.5,16.6,1.2,17.8
09X219,2007,508,30.1,39.6,26.8,3.5,30.3
09X219,2008,429,18.4,36.8,39.2,5.6,44.8
09X219,2009,439,7.3,33.9,54.4,4.3,58.8
09X219,2010,448,24.8,49.6,21.4,4.2,25.7
09X219,2011,407,28,47.7,19.4,4.9,24.3
09X229,2006,451,45.9,35.9,17.1,1.1,18.2
09X229,2007,385,24.2,42.9,30.1,2.9,33
09X229,2008,363,14.6,38.6,41,5.8,46.8
09X229,2009,350,7.1,37.4,51.1,4.3,55.4
09X229,2010,336,28,44.3,22.9,4.8,27.7
09X229,2011,221,23.5,44.8,25.3,6.3,31.7
09X230,2006,199,20.1,28.1,47.7,4,51.8
09X230,2007,179,15.6,25.1,53.1,6.1,59.2
09X230,2008,211,16.1,25.1,50.7,8.1,58.8
09X230,2009,213,3.3,12.7,68.1,16,84
09X230,2010,182,15.9,56.6,20.9,6.6,27.5
09X230,2011,241,23.7,46.5,24.5,5.4,29.9
09X232,2006,744,37,47.3,15.3,0.4,15.7
09X232,2007,584,26.9,46.2,26,0.9,26.9
09X232,2008,492,16.1,42.1,39.6,2.2,41.9
09X232,2009,414,6.8,36.5,53.4,3.4,56.8
09X232,2010,427,18.3,48.2,29,4.4,33.5
09X232,2011,422,12.3,46.2,34.6,6.9,41.5
09X241,2006,156,3.8,25.6,57.1,13.5,70.5
09X241,2007,227,4,25.6,56.8,13.7,70.5
09X241,2008,207,0.5,15,71.5,13,84.5
09X241,2009,237,0.4,11.8,73,14.8,87.8
09X241,2010,220,2.3,35.5,46.8,15.5,62.3
09X241,2011,230,2.2,33.9,46.5,17.4,63.9
09X250,2006,64,4.7,35.9,50,9.4,59.4
09X250,2007,129,5.4,35.7,52.7,6.2,58.9
09X250,2008,183,4.9,35.5,55.7,3.8,59.6
09X250,2009,144,0,14.6,75,10.4,85.4
09X250,2010,89,10.1,53.9,32.6,3.4,36
09X250,2011,50,2,40,48,10,58
09X303,2006,322,13.4,42.5,42.5,1.6,44.1
09X303,2007,322,6.2,33.5,56.2,4,60.2
09X303,2008,334,1.5,21,69.2,8.4,77.5
09X303,2009,345,2,17.4,74.2,6.4,80.6
09X303,2010,326,12.9,58.6,25.2,3.4,28.5
09X303,2011,328,11.9,57,26.2,4.9,31.1
09X313,2006,491,47.7,38.3,13.2,0.8,14.1
09X313,2007,451,32.8,44.6,21.3,1.3,22.6
09X313,2008,402,15.7,49.5,33.1,1.7,34.8
09X313,2009,400,5.5,28.3,60,6.3,66.3
09X313,2010,429,16.8,51.7,27,4.4,31.5
09X313,2011,435,24.1,41.6,29.9,4.4,34.3
09X323,2006,633,32.5,41.5,25.1,0.8,25.9
09X323,2007,533,20.3,43.5,32.8,3.4,36.2
09X323,2008,488,6.4,30.9,56.6,6.1,62.7
09X323,2009,517,6,29.8,58,6.2,64.2
09X323,2010,497,13.5,49.3,29,8.2,37.2
09X323,2011,499,16.6,48.7,27.7,7,34.7
09X324,2007,81,6.2,28.4,55.6,9.9,65.4
09X324,2008,145,1.4,33.8,57.9,6.9,64.8
09X324,2009,176,1.1,8,74.4,16.5,90.9
09X324,2010,160,10.6,41.3,38.8,9.4,48.1
09X324,2011,187,15.5,47.1,32.1,5.3,37.4
09X325,2006,504,41.3,37.3,20,1.4,21.4
09X325,2007,482,29.5,35.9,28.4,6.2,34.6
09X325,2008,467,17.1,33,43.3,6.6,49.9
09X325,2009,464,9.3,31.7,54.7,4.3,59.1
09X325,2010,467,26.3,47.3,23.1,3.2,26.3
09X325,2011,426,23,55.9,20,1.2,21.1
09X327,2006,173,8.1,32.9,49.7,9.2,59
09X327,2007,205,2.9,29.3,58,9.8,67.8
09X327,2008,216,1.9,12.5,61.1,24.5,85.6
09X327,2009,225,0.9,4,70.7,24.4,95.1
09X327,2010,268,4.5,23.1,39.6,32.8,72.4
09X327,2011,345,5.2,29,42,23.8,65.8
