DBN,Year,Total Grads - % of cohort,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - % of cohort,Local - % of grads,Still Enrolled - % of cohort,Dropped Out - % of cohort
02M313,2008,29.5,15.9,53.8,0,0,15.9,53.8,13.6,46.2,56.8,9.1
02M313,2009,38.5,19.2,50,0,0,19.2,50,19.2,50,44.9,10.3
02M313,2010,57,39.2,68.9,0,0,39.2,68.9,17.7,31.1,25.3,13.9
02M316,2009,63.6,41.6,65.3,7.8,12.2,33.8,53.1,22.1,34.7,26,9.1
02M316,2010,80.6,63.9,79.3,11.1,13.8,52.8,65.5,16.7,20.7,11.1,5.6
02M374,2009,73.5,19.1,26,0,0,19.1,26,54.4,74,14.7,5.9
02M374,2010,78.5,55.9,71.2,1.1,1.4,54.8,69.9,22.6,28.8,12.9,6.5
02M400,2005,75.3,54.7,72.7,20.3,26.9,34.4,45.8,20.6,27.3,15,7.2
02M400,2006,74.2,59.7,80.4,21.5,29,38.2,51.4,14.5,19.6,16.4,8.3
02M400,2007,73.1,57.1,78.1,21.8,29.8,35.3,48.2,16,21.9,15.4,10.3
02M400,2008,79.5,68,85.6,32,40.3,36,45.3,11.4,14.4,15.8,3.7
02M400,2009,70.1,55.5,79.3,19.8,28.2,35.8,51,14.5,20.7,21.8,4.4
02M400,2010,81.5,65.6,80.5,22.7,27.9,42.9,52.6,15.9,19.5,8.8,6
02M407,2005,80,0,0,0,0,0,0,80,100,15,5
02M407,2006,83,0,0,0,0,0,0,83,100,15.1,1.9
02M407,2007,78.6,0,0,0,0,0,0,78.6,100,18.6,2.9
02M407,2008,66,0,0,0,0,0,0,66,100,30,4
02M407,2009,75.9,0,0,0,0,0,0,75.9,100,20.7,1.7
02M407,2010,80,0,0,0,0,0,0,80,100,16.4,3.6
02M408,2005,90,67.5,75,18.8,20.8,48.8,54.2,22.5,25,5,5
02M408,2006,90.6,74,81.6,13.5,14.9,60.4,66.7,16.7,18.4,7.3,2.1
02M408,2007,85.7,72.6,84.7,28.6,33.3,44,51.4,13.1,15.3,13.1,1.2
02M408,2008,1.2,0,0,0,0,0,0,1.2,100,97.5,1.2
02M408,2009,95,80,84.2,21,22.1,59,62.1,15,15.8,4,1
02M408,2010,97.5,80,82.1,10,10.3,70,71.8,17.5,17.9,2.5,0
02M409,2005,56.4,16.7,29.5,0,0,16.7,29.5,39.7,70.5,28.2,12.8
02M409,2006,53.5,25.6,47.8,0,0,25.6,47.8,27.9,52.2,22.1,24.4
02M409,2007,56.7,22.2,39.2,0,0,22.2,39.2,34.4,60.8,26.7,14.4
02M409,2008,50.7,14.7,28.9,0,0,14.7,28.9,36,71.1,28,20
02M409,2009,75.9,14.5,19,0,0,14.5,19,61.4,81,0,10.8
02M411,2005,100,95.7,95.7,68.5,68.5,27.2,27.2,4.3,4.3,0,0
02M411,2006,97,89.1,91.8,44.6,45.9,44.6,45.9,7.9,8.2,1,1
02M411,2007,97.9,94.7,96.7,68.1,69.6,26.6,27.2,3.2,3.3,2.1,0
02M411,2008,97.1,95.2,98,62.5,64.4,32.7,33.7,1.9,2,1.9,1
02M411,2009,100,97.9,97.9,57.3,57.3,40.6,40.6,2.1,2.1,0,0
02M411,2010,98.1,95.2,97.1,53.3,54.4,41.9,42.7,2.9,2.9,1.9,0
02M412,2005,98.8,96.4,97.6,19.3,19.5,77.1,78,2.4,2.4,0,1.2
02M412,2006,99,95.1,96,62.7,63.4,32.4,32.7,3.9,4,0,0
02M412,2007,98.1,93.3,95.1,72.1,73.5,21.2,21.6,4.8,4.9,1.9,0
02M412,2008,97.1,90.2,92.9,55.9,57.6,34.3,35.4,6.9,7.1,2,1
02M412,2009,95.5,88.7,92.9,57.9,60.6,30.8,32.3,6.8,7.1,3,1.5
02M412,2010,95.2,85.5,89.8,50,52.5,35.5,37.3,9.7,10.2,3.2,1.6
02M413,2005,94.4,94.4,100,0,0,94.4,100,0,0,4.2,0
02M413,2006,76.7,76.7,100,0,0,76.7,100,0,0,19.2,4.1
02M413,2007,92.4,91.3,98.8,0,0,91.3,98.8,1.1,1.2,5.4,2.2
02M413,2008,78.1,78.1,100,0,0,78.1,100,0,0,21.9,0
02M413,2009,86.9,86.9,100,0,0,86.9,100,0,0,10.7,2.4
02M413,2010,78.9,78.9,100,0,0,78.9,100,0,0,17.9,2.1
02M414,2005,84.9,84.9,100,9.4,11.1,75.5,88.9,0,0,15.1,0
02M414,2006,76.8,69.6,90.7,17.9,23.3,51.8,67.4,7.1,9.3,16.1,5.4
02M414,2007,73.1,63.5,86.8,13.5,18.4,50,68.4,9.6,13.2,23.1,3.8
02M414,2008,92,77.3,84.1,8,8.7,69.3,75.4,14.7,15.9,4,4
02M414,2009,94,80,85.1,27,28.7,53,56.4,14,14.9,6,0
02M414,2010,96.2,81.1,84.3,4.7,4.9,76.4,79.4,15.1,15.7,0.9,1.9
02M416,2006,97,96,99,0,0,96,99,1,1,2,1
02M416,2007,99.1,98.3,99.1,65.8,66.4,32.5,32.8,0.9,0.9,0.9,0
02M416,2008,100,96.2,96.2,65.7,65.7,30.5,30.5,3.8,3.8,0,0
02M416,2009,99.1,98.3,99.1,66.1,66.7,32.2,32.5,0.9,0.9,0,0
02M416,2010,100,99.2,99.2,86.6,86.6,12.6,12.6,0.8,0.8,0,0
02M418,2006,90.1,74.7,82.9,0,0,74.7,82.9,15.4,17.1,8.8,1.1
02M418,2007,88.8,76.6,86.3,19.6,22.1,57,64.2,12.1,13.7,10.3,0.9
02M418,2008,96.2,84.8,88.1,21,21.8,63.8,66.3,11.4,11.9,1.9,1.9
02M418,2009,96.7,86.2,89.1,12.2,12.6,74,76.5,10.6,10.9,3.3,0
02M418,2010,99.3,93.3,94,45.3,45.6,48,48.3,6,6,0.7,0
02M419,2005,60.8,0,0,0,0,0,0,60.8,100,26.6,10.1
02M419,2006,61.1,0,0,0,0,0,0,61.1,100,23.2,15.8
02M419,2007,60.3,0,0,0,0,0,0,60.3,100,15.4,23.1
02M419,2008,52,0,0,0,0,0,0,52,100,33,12
02M419,2009,61.2,0,0,0,0,0,0,61.2,100,26.5,7.1
02M419,2010,64.9,64.9,100,0,0,64.9,100,0,0,14.9,13.8
02M420,2005,76.5,66.1,86.4,16.9,22.1,49.2,64.3,10.4,13.6,13.4,9.1
02M420,2006,81.8,63.2,77.3,17.9,21.9,45.3,55.4,18.6,22.7,9.1,7.2
02M420,2007,74.8,45.5,60.9,8.5,11.4,37,49.5,29.3,39.1,19.1,4.5
02M420,2008,77,63.6,82.6,17.8,23.2,45.7,59.4,13.4,17.4,21.6,0.4
02M420,2009,73.8,61.9,83.9,13.1,17.7,48.8,66.1,11.9,16.1,23.3,0.3
02M420,2010,86.2,73.3,85,14.4,16.7,58.9,68.4,12.9,15,10.6,0.6
02M425,2005,70,12.5,17.9,0,0,12.5,17.9,57.5,82.1,12.5,11.7
02M425,2006,69.4,38.8,56,15.7,22.6,23.1,33.3,30.6,44,6.6,15.7
02M425,2007,57.1,27.1,47.4,1.2,2.1,25.9,45.4,30,52.6,16.5,15.9
02M425,2008,59.6,29.8,50,6.6,11.1,23.2,38.9,29.8,50,14.6,19.2
02M425,2009,50.3,17.5,34.7,0,0,17.5,34.7,32.9,65.3,24.5,18.9
02M425,2010,64.6,45.8,71,6.3,9.7,39.6,61.3,18.8,29,11.8,16
02M429,2005,21.3,0,0,0,0,0,0,21.3,100,48,28
02M429,2006,33.3,0,0,0,0,0,0,36,108,36,28
02M429,2007,36.8,2.6,7.1,0,0,2.6,7.1,34.2,92.9,38.2,21.1
02M429,2008,38,4.2,11.1,0,0,4.2,11.1,33.8,88.9,26.8,33.8
02M429,2009,50.5,19.4,38.3,3.2,6.4,16.1,31.9,31.2,61.7,32.3,10.8
02M429,2010,58.9,23.3,39.5,0,0,23.3,39.5,35.6,60.5,19.2,6.8
02M439,2005,85.7,52.4,61.1,0,0,52.4,61.1,33.3,38.9,7.9,1.6
02M439,2006,75,58.8,78.3,0,0,58.8,78.3,16.3,21.7,18.8,1.3
02M439,2007,88.4,65.1,73.7,3.5,3.9,61.6,69.7,23.3,26.3,8.1,2.3
02M439,2008,89.7,73.6,82.1,8,9,65.5,73.1,16.1,17.9,4.6,4.6
02M439,2009,98.6,90.5,91.8,23,23.3,67.6,68.5,8.1,8.2,1.4,0
07X321,2009,8,6,75,0,0,6,75,2,25,70,20
02M439,2010,98.2,96.4,98.1,40.9,41.7,55.5,56.5,1.8,1.9,0,0
02M440,2005,51.5,23.5,45.7,8.5,16.6,15,29.1,28,54.3,24.9,21.2
02M440,2006,41.2,20,48.6,6.7,16.2,13.3,32.4,21.2,51.4,38.2,17.3
02M440,2007,32.2,10.1,31.3,3.9,12.2,6.1,19.1,22.1,68.7,43,22.6
02M440,2008,48.2,12.9,26.9,4.6,9.5,8.4,17.4,35.3,73.1,30.9,18.7
02M440,2009,51,21.3,41.7,2.5,4.9,18.8,36.8,29.8,58.3,30.8,13.8
02M440,2010,46.8,22.5,48,2.2,4.7,20.3,43.3,24.4,52,27.4,18.6
02M445,2005,31.9,10.3,32.4,0,0,10.3,32.4,21.6,67.6,27.1,33.1
02M445,2006,58.2,22.4,38.5,0,0,22.4,38.5,36.8,63.2,6,30.8
02M449,2005,53.3,20,37.5,0,0,20,37.5,33.3,62.5,35.6,11.1
02M449,2006,66.7,0,0,0,0,0,0,66.7,100,12.8,17.9
02M449,2007,65.6,44.3,67.5,0,0,44.3,67.5,21.3,32.5,18,14.8
02M449,2008,47.1,44.1,93.8,0,0,44.1,93.8,2.9,6.3,38.2,7.4
02M449,2009,78.9,73.7,93.3,0,0,73.7,93.3,5.3,6.7,17.1,0
02M449,2010,59.6,57.3,96.2,0,0,57.3,96.2,2.2,3.8,31.5,3.4
02M459,2005,64.2,0,0,0,0,0,0,64.2,100,30.2,5.7
02M459,2006,60,0,0,0,0,0,0,60,100,30.9,7.3
02M459,2007,57.1,0,0,0,0,0,0,57.1,100,35.2,5.5
02M459,2008,63.6,47,73.8,0,0,47,73.8,16.7,26.2,30.3,6.1
02M459,2009,52.9,50,94.4,0,0,50,94.4,2.9,5.6,32.4,10.3
02M459,2010,59.4,59.4,100,0,0,59.4,100,0,0,29,7.2
02M460,2005,43.2,16.5,38.3,4.1,9.5,12.5,28.8,26.7,61.7,28.6,27.4
02M460,2006,45.5,19.6,43.1,0.6,1.4,19,41.7,25.9,56.9,28.9,22.1
02M460,2007,42.7,22.8,53.4,2.9,6.8,19.9,46.6,19.9,46.6,32.1,22.6
02M460,2008,36.6,16.8,46,3.9,10.7,12.9,35.3,19.7,54,35.9,24.5
02M460,2009,36.6,19.3,52.8,1.1,3.1,18.2,49.7,17.2,47.2,22.1,33.3
02M460,2010,53.5,40.6,75.9,2.7,5.1,37.9,70.9,12.9,24.1,12.2,26.6
02M475,2005,97.8,97.8,100,97.3,99.5,0.5,0.5,0,0,2,0.3
02M475,2006,96,96,100,94.7,98.7,1.3,1.3,0,0,3,0.5
02M475,2007,97.2,97.2,100,96.8,99.6,0.4,0.4,0,0,2.6,0.1
02M475,2008,97.8,97.8,100,97.1,99.3,0.7,0.7,0,0,2,0.1
02M475,2009,96.5,96.5,100,95.6,99.1,0.9,0.9,0,0,2.8,0.5
02M475,2010,99.1,99.1,100,98.1,99,1,1,0,0,0.5,0.4
02M489,2005,82.3,56.6,68.8,23.9,29,32.7,39.8,25.7,31.2,10.6,7.1
02M489,2006,82.4,62.2,75.4,18.2,22.1,43.9,53.3,20.3,24.6,8.1,8.8
02M489,2007,74.3,55.1,74.3,0.7,1,54.4,73.3,19.1,25.7,15.4,8.8
02M489,2008,78.8,54.1,68.7,23.3,29.6,30.8,39.1,24.7,31.3,13,8.2
02M489,2009,70.1,55.2,78.7,17.2,24.5,38.1,54.3,14.9,21.3,15.7,11.2
02M489,2010,84.7,68.4,80.7,24.3,28.7,44.1,52,16.4,19.3,4.5,7.3
02M500,2005,32.6,20.9,64.3,0,0,20.9,64.3,11.6,35.7,46.5,20.9
02M500,2006,31.9,31.9,100,0,0,31.9,100,0,0,25.5,36.2
02M500,2007,40,30,75,0,0,30,75,10,25,33.3,26.7
02M500,2008,52.5,30,57.1,0,0,30,57.1,22.5,42.9,40,7.5
02M500,2009,51.2,19.5,38.1,0,0,19.5,38.1,31.7,61.9,31.7,14.6
02M500,2010,73.6,58.5,79.5,7.5,10.3,50.9,69.2,15.1,20.5,13.2,11.3
02M519,2005,92.5,71.6,77.4,0,0,71.6,77.4,20.9,22.6,1.5,1.5
02M519,2006,83.8,75,89.6,18.8,22.4,56.3,67.2,8.8,10.4,10,6.3
02M519,2007,88.8,71.6,80.7,36.6,41.2,35.1,39.5,17.2,19.3,9,2.2
02M519,2008,86.2,71.3,82.7,38.3,44.4,33,38.3,14.9,17.3,11.7,2.1
02M519,2009,89.1,71.7,80.5,19.6,22,52.2,58.5,17.4,19.5,10.9,0
02M519,2010,93.4,88.2,94.5,26.5,28.3,61.8,66.1,5.1,5.5,5.9,0
02M520,2005,67.7,55.3,81.7,9.4,13.9,45.9,67.8,12.4,18.3,16.8,12.2
02M520,2006,65.8,53.6,81.5,14.8,22.4,38.9,59.1,12.1,18.5,18.7,13.6
02M520,2007,57.1,43,75.3,28.6,50,14.5,25.3,14.1,24.7,20.4,19.8
02M520,2008,50.1,35.7,71.2,25.5,51,10.1,20.3,14.4,28.8,29.1,19.1
02M520,2009,57.8,41.9,72.5,6.3,10.9,35.6,61.5,15.9,27.5,24.8,12.5
02M520,2010,60.6,43.6,72,4.9,8,38.8,64,17,28,24.2,11.6
02M529,2005,65.1,37.7,58,3.8,5.8,34,52.2,27.4,42,26.4,5.7
02M529,2006,72.9,45.8,62.9,4.2,5.7,41.7,57.1,27.1,37.1,18.1,5.6
02M529,2007,54.4,34,62.5,4.8,8.8,29.3,53.8,20.4,37.5,34.7,10.9
02M529,2008,64.2,48.5,75.6,36.6,57,11.9,18.6,15.7,24.4,23.1,11.9
02M529,2009,60.9,43.7,71.7,13.2,21.7,30.5,50,17.2,28.3,28.2,7.5
02M529,2010,69.6,55.4,79.6,18.9,27.2,36.5,52.4,14.2,20.4,17.6,10.1
02M544,2006,13,1.9,14.3,0,0,1.9,14.3,11.2,85.7,80.5,6.5
02M531,2005,47.2,8.3,17.6,0,0,8.3,17.6,38.9,82.4,30.6,19.4
02M531,2006,68.9,37.8,54.8,0,0,37.8,54.8,31.1,45.2,8.9,22.2
02M531,2007,82.9,40,48.3,0,0,40,48.3,42.9,51.7,11.4,5.7
02M531,2008,87.5,42.5,48.6,0,0,42.5,48.6,45,51.4,10,2.5
02M531,2009,88.6,63.6,71.8,0,0,63.6,71.8,25,28.2,11.4,0
02M531,2010,87.8,61.2,69.8,0,0,61.2,69.8,26.5,30.2,4.1,8.2
02M535,2005,34.1,14.5,42.5,0.5,1.6,14,40.9,19.6,57.5,25.5,33.9
02M535,2006,47.8,15,31.5,0,0,15,31.5,33.6,70.4,6.5,38.1
02M542,2007,62.6,25.3,40.4,3.3,5.3,22,35.1,37.4,59.6,30.8,6.6
02M542,2008,76.6,39.4,51.4,25.5,33.3,13.8,18.1,37.2,48.6,19.1,2.1
02M542,2009,58.9,39.3,66.7,8.4,14.3,30.8,52.4,19.6,33.3,31.8,9.3
02M542,2010,73.9,58.6,79.3,14.4,19.5,44.1,59.8,15.3,20.7,10.8,13.5
02M543,2007,77.8,45.8,58.9,0,0,45.8,58.9,31.9,41.1,8.3,8.3
02M543,2008,70.3,50.5,71.9,0,0,50.5,71.9,19.8,28.1,16.5,9.9
02M543,2009,69.1,51.9,75,0,0,51.9,75,17.3,25,16,7.4
02M543,2010,67.3,42.6,63.2,0,0,42.6,63.2,24.8,36.8,23.8,7.9
02M544,2005,9.6,0,0,0,0,0,0,9.6,100,84.2,6.1
02M544,2007,13.5,2.9,21.7,0,0,2.9,21.7,10.5,78.3,70.8,15.8
02M544,2008,21.7,7,32,0,0,7,32,14.8,68,70.4,7
02M544,2009,18.1,5,27.6,0,0,5,27.6,13.1,72.4,65,15
02M544,2010,17.2,6.9,40,0,0,6.9,40,10.3,60,63.4,13.1
02M545,2007,78.8,73.1,92.7,65.4,82.9,7.7,9.8,5.8,7.3,17.3,1.9
02M545,2008,77.8,72.2,92.9,62.5,80.4,9.7,12.5,5.6,7.1,19.4,2.8
02M545,2009,89.5,84.2,94.1,73.7,82.4,10.5,11.8,5.3,5.9,7.9,2.6
02M545,2010,94.4,90.7,96.1,81.5,86.3,9.3,9.8,3.7,3.9,1.9,0
02M550,2005,0,0,,0,,0,,0,,16.7,74.2
02M550,2006,54.4,35,64.3,6.8,12.5,28.2,51.8,19.4,35.7,13.6,32
02M550,2007,39.9,22.8,57.1,5.7,14.3,17.1,42.9,17.1,42.9,15.2,44.3
02M550,2008,43.4,34.9,80.4,8.5,19.6,26.4,60.9,8.5,19.6,29.2,27.4
02M550,2009,54.9,40.7,74.2,15,27.4,25.7,46.8,14.2,25.8,28.3,16.8
02M550,2010,53.6,30.9,57.7,7.2,13.5,23.7,44.2,22.7,42.3,22.7,19.6
02M551,2007,56.6,21.2,37.5,7.1,12.5,14.1,25,35.4,62.5,35.4,7.1
02M551,2008,68,30.1,44.3,11.7,17.1,18.4,27.1,37.9,55.7,24.3,6.8
02M551,2009,63.4,29.3,46.2,6.1,9.6,23.2,36.5,34.1,53.8,26.8,9.8
02M551,2010,80.5,54.5,67.7,36.4,45.2,18.2,22.6,26,32.3,1.3,18.2
02M560,2005,28.3,0.4,1.3,0,0,0.4,1.3,28,98.7,71.3,0.4
02M560,2006,26.4,0.3,1.2,0,0,0.3,1.2,26.1,98.8,73.6,0
02M560,2007,31.7,18.3,57.6,0,0,18.3,57.6,13.4,42.4,67.6,0.7
02M560,2008,37.6,21.5,57.1,0,0,21.5,57.1,16.1,42.9,59.5,2.9
02M560,2009,37.4,28.8,77,0,0,28.8,77,8.6,23,58.1,1.5
02M560,2010,45.1,41.7,92.5,0,0,41.7,92.5,3.4,7.5,51.9,0.9
02M565,2005,58.1,0,0,0,0,0,0,58.1,100,32.6,9.3
02M565,2006,28.9,0,0,0,0,0,0,28.9,100,65.8,5.3
02M565,2007,15.6,12.5,80,0,0,12.5,80,3.1,20,78.1,6.3
02M565,2008,42.3,42.3,100,0,0,42.3,100,0,0,53.8,3.8
02M565,2009,27.6,27.6,100,0,0,27.6,100,0,0,62.1,3.4
02M565,2010,41.3,41.3,100,0,0,41.3,100,0,0,50,2.2
02M570,2005,18.7,0,0,0,0,0,0,18.7,100,69.4,11.7
02M570,2006,14.4,0,0,0,0,0,0,14.4,100,71.5,14.1
02M570,2007,13.5,1.3,9.5,0,0,1.3,9.5,12.3,90.5,80.3,6.1
02M570,2008,19,1,5,0,0,1,5,18.1,95,76.8,3.5
02M570,2009,16.1,9.7,60.4,0,0,9.7,60.4,6.4,39.6,61.8,15.5
02M570,2010,13.5,8.7,64.7,0,0,8.7,64.7,4.7,35.3,71.5,10.8
02M575,2005,36.7,9.2,25.2,0.9,2.4,8.4,22.8,27.5,74.8,50.3,13
02M575,2006,35.9,25.4,70.9,2.8,7.9,22.6,63,10.7,29.7,49.1,15
02M575,2007,22.8,19.9,87.3,4.2,18.3,15.7,69,2.9,12.7,55.1,21.8
02M575,2008,44.2,37.9,85.7,14.5,32.8,23.4,52.9,6.3,14.3,38.3,17.5
02M575,2009,52.4,48.7,92.9,16.6,31.6,32.1,61.2,3.7,7.1,27.3,18.7
02M575,2010,45.4,40.4,89,11.2,24.6,29.2,64.4,5,11,36.2,16.9
02M580,2005,61.5,39.7,64.5,8.9,14.5,30.7,50,21.8,35.5,19.6,6.7
02M580,2006,58,30.7,52.9,0.6,1,30.1,52,27.3,47.1,30.7,8.5
02M580,2007,47.2,28.3,60,4.4,9.3,23.9,50.7,18.9,40,34,17
02M580,2008,56.3,33.6,59.7,12.6,22.4,21,37.3,22.7,40.3,22.7,19.3
02M580,2009,54.9,43.6,79.5,14.3,26,29.3,53.4,11.3,20.5,21.1,20.3
02M580,2010,69.4,56,80.6,11.9,17.2,44,63.4,13.4,19.4,14.2,11.2
02M586,2005,24.1,0,0,0,0,0,0,24.1,100,55.2,20.7
02M586,2006,32.1,10.7,33.3,0,0,10.7,33.3,21.4,66.7,53.6,14.3
02M586,2007,18.6,7,37.5,0,0,7,37.5,11.6,62.5,51.2,30.2
02M586,2008,15,5,33.3,0,0,5,33.3,10,66.7,65,17.5
02M586,2009,30,6.7,22.2,0,0,6.7,22.2,23.3,77.8,43.3,26.7
02M586,2010,40,23.3,58.3,0,0,23.3,58.3,16.7,41.7,36.7,23.3
02M600,2005,72.8,60,82.5,7,9.6,53,72.8,13,17.9,10.8,8.7
02M600,2006,77.8,50.4,64.8,3.7,4.7,46.7,60.1,27.4,35.2,13.1,6.5
02M600,2007,82.1,55.2,67.3,39.7,48.4,15.5,18.9,26.9,32.7,10.4,6.3
02M600,2008,85.1,53.2,62.5,38.8,45.6,14.4,16.9,31.9,37.5,9.5,3.4
02M600,2009,77.9,62.5,80.3,6.2,8,56.3,72.3,15.4,19.7,15.1,5
02M600,2010,90.4,79.3,87.8,9.6,10.6,69.7,77.1,11.1,12.2,6.3,2.4
02M605,2005,58.8,13.7,23.3,0,0,13.7,23.3,45.1,76.7,33.3,5.9
02M605,2006,52.3,6.8,13,0,0,6.8,13,45.5,87,22.7,25
02M605,2007,60.3,32.8,54.3,0,0,32.8,54.3,27.6,45.7,25.9,12.1
02M605,2008,45.1,43.1,95.7,13.7,30.4,29.4,65.2,2,4.3,43.1,11.8
02M605,2009,60,57.1,95.2,8.6,14.3,48.6,81,2.9,4.8,25.7,11.4
02M605,2010,83.3,81.3,97.5,18.8,22.5,62.5,75,2.1,2.5,14.6,2.1
02M615,2005,36.6,18.6,50.7,0,0,18.6,50.7,18,49.3,32.8,21.9
02M615,2006,43.9,22.9,52.2,0,0,22.9,52.2,21.5,48.9,30.2,20
02M615,2007,35.1,17,48.3,0,0,17,48.3,18.1,51.7,30.4,24.6
02M615,2008,48.4,27.4,56.7,12.6,26,14.9,30.8,20.9,43.3,32.1,14.9
02M615,2009,50.6,29.4,58.1,12.9,25.6,16.5,32.6,21.2,41.9,12.4,18.2
02M615,2010,52,31.8,61.1,4.6,8.9,27.2,52.2,20.2,38.9,9.8,24.9
02M620,2005,42,21.9,52.2,2.3,5.5,19.6,46.6,20.1,47.8,30.5,20.1
02M620,2006,43.1,17.8,41.4,2.1,4.8,15.7,36.5,25.3,58.6,28.2,24.7
02M620,2007,39.4,17.5,44.4,13.7,34.7,3.8,9.7,21.9,55.6,31.5,24.9
02M620,2008,35.4,15.9,45,8.1,22.8,7.9,22.2,19.4,55,42,20.8
02M620,2009,37,19.9,53.7,0.8,2.2,19.1,51.5,17.1,46.3,38.4,20.7
02M620,2010,50,29.1,58.2,2.4,4.7,26.7,53.4,20.9,41.8,22.2,22.4
02M625,2005,31.5,11.6,36.8,0,0,11.6,36.8,19.9,63.2,34.6,29.4
02M625,2006,34.8,19.9,57.2,1.2,3.4,18.7,53.8,14.9,42.8,27.3,33.1
02M625,2007,30.6,20.5,67,0.3,0.9,20.2,66,10.1,33,32.9,31.5
02M625,2008,32.7,22,67.2,1.3,4.1,20.6,63.1,10.7,32.8,35.1,30.3
02M625,2009,42.9,22.4,52.2,0.8,1.9,21.6,50.3,20.5,47.8,24.3,27
02M625,2010,50.4,27.8,55.1,1.5,2.9,26.3,52.2,22.6,44.9,18.4,25.1
02M630,2005,70.7,32.5,46,9.3,13.1,23.2,32.8,38.2,54,21.4,3.9
02M630,2006,63.7,38.4,60.3,7.3,11.5,31,48.7,25.3,39.7,28.2,3.3
02M630,2007,61.1,37.7,61.7,10.8,17.6,26.9,44,23.4,38.3,29.7,6.3
02M630,2008,68.3,46.6,68.3,7.1,10.4,39.6,57.9,21.6,31.7,24.6,5.6
02M630,2009,64.8,51.5,79.4,5.5,8.5,45.9,70.9,13.4,20.6,28.3,3.6
02M630,2010,72.2,63.1,87.4,8.4,11.7,54.7,75.8,9.1,12.6,17.5,6.9
02M655,2005,70.6,36.1,51.2,6.7,9.5,29.4,41.7,34.5,48.8,17.6,11.8
02M655,2006,76.5,37.5,49,5.9,7.7,31.6,41.3,39,51,15.4,5.1
02M655,2007,76.2,40,52.5,6.7,8.8,33.3,43.8,36.2,47.5,12.4,6.7
02M655,2008,83.1,53.8,64.8,15.4,18.5,38.5,46.3,29.2,35.2,8.5,8.5
02M655,2009,84.7,53.2,62.8,1.8,2.1,51.4,60.6,31.5,37.2,9,5.4
02M655,2010,85.6,61,71.3,2.5,3,58.5,68.3,24.6,28.7,6.8,5.9
02M690,2005,48.9,21.3,43.5,0,0,21.3,43.5,27.7,56.5,21.3,25.5
02M690,2006,45.2,29,64.3,0,0,29,64.3,16.1,35.7,19.4,32.3
02M690,2007,34.1,19.5,57.1,0,0,19.5,57.1,14.6,42.9,34.1,26.8
02M690,2008,37.5,15.6,41.7,0,0,15.6,41.7,21.9,58.3,35.9,26.6
02M690,2009,37.1,8.1,21.7,0,0,8.1,21.7,29,78.3,43.5,6.5
02M690,2010,50,19.6,39.1,0,0,19.6,39.1,30.4,60.9,23.9,21.7
03M283,2008,50,14.3,28.6,1.8,3.6,12.5,25,35.7,71.4,33.9,16.1
03M283,2009,91.7,37.5,40.9,0,0,37.5,40.9,54.2,59.1,0,2.1
03M283,2010,58.1,24.3,41.9,0,0,24.3,41.9,33.8,58.1,27,8.1
03M299,2009,45.5,37.4,82.2,0,0,37.4,82.2,8.1,17.8,39.4,11.1
03M299,2010,78.7,64,81.4,1.1,1.4,62.9,80,14.6,18.6,12.4,7.9
03M307,2008,59.5,41.8,70.2,0,0,41.8,70.2,17.7,29.8,32.9,6.3
03M307,2009,67.4,33.7,50,0,0,33.7,50,33.7,50,23.9,6.5
03M307,2010,62,43,69.4,0,0,43,69.4,19,30.6,15,19
03M404,2010,28.2,20.5,72.7,0,0,20.5,72.7,7.7,27.3,66.7,5.1
03M415,2005,60,41,68.3,2.9,4.8,38.1,63.5,19,31.7,19,14.3
03M415,2006,65.9,52,79,1.6,2.5,50.4,76.5,13.8,21,14.6,12.2
03M415,2007,63,45.5,72.2,7.1,11.3,38.3,60.8,17.5,27.8,9.7,5.8
03M415,2008,61,37.1,60.8,4.4,7.2,32.7,53.6,23.9,39.2,27.7,1.3
03M415,2009,70.3,52.3,74.4,10.9,15.6,41.4,58.9,18,25.6,20.3,0.8
03M415,2010,70.9,57.5,81.1,15,21.1,42.5,60,13.4,18.9,18.9,1.6
03M470,2005,35.3,22,62.3,5.3,15.1,16.7,47.2,13.3,37.7,34,28.2
03M470,2006,43.5,29,66.7,5.4,12.5,23.6,54.2,14.5,33.3,34.3,21
03M470,2007,38.1,24.6,64.6,5.5,14.4,19.1,50.2,13.5,35.4,32.9,25.8
03M470,2008,32.4,18.3,56.5,3,9.2,15.3,47.3,14.1,43.5,38,25.7
03M470,2009,35.3,20.7,58.5,5.5,15.6,15.2,42.9,14.7,41.5,42.1,18.1
03M470,2010,39.3,22.1,56.1,4.2,10.7,17.9,45.4,17.3,43.9,33,22.8
03M479,2005,89.4,87.6,98,0,0,87.6,98,1.8,2,8,2.7
03M479,2006,87,69.6,80,0,0,69.6,80,17.4,20,7.8,3
03M479,2007,87,60.9,70,0,0,60.9,70,26.1,30,10.9,2.2
03M479,2008,85.5,74.4,87.1,0,0,74.4,87.1,11,12.9,12.8,1.8
03M479,2009,95.1,80.9,85,0,0,80.9,85,14.2,15,2.8,0.4
03M479,2010,97.8,91.8,93.9,0,0,91.8,93.9,5.9,6.1,1.9,0
03M485,2005,87.7,82.3,93.8,41,46.8,41.2,47,5.4,6.2,11.7,0.7
