DBN,Year,Total Grads - % of cohort,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - % of cohort,Local - % of grads,Still Enrolled - % of cohort,Dropped Out - % of cohort
30Q502,2007,67.5,59.7,88.4,13.2,19.5,46.5,68.9,7.8,11.6,23.5,8.6
30Q502,2008,67.2,61.2,91,21.1,31.4,40.1,59.6,6,9,17.2,14.7
30Q502,2009,56.7,48.1,84.7,8.7,15.3,39.4,69.5,8.7,15.3,19,19
30Q502,2010,71.5,56.6,79.1,13.1,18.3,43.4,60.7,15,20.9,14.6,12.4
30Q555,2005,51.6,39.8,77,12.3,23.8,27.5,53.2,12.3,23.8,26.2,20.5
30Q555,2006,50.8,47.7,93.9,15.9,31.3,31.8,62.6,3.1,6.1,29.5,15.9
30Q555,2007,42.3,38.1,90.2,12.9,30.5,25.3,59.8,4.1,9.8,37.1,14.9
30Q555,2008,56,51.3,91.6,20.9,37.4,30.3,54.2,4.7,8.4,34.6,9.4
30Q555,2009,60.3,51.7,85.7,17.7,29.3,34.1,56.4,8.6,14.3,27.6,8.6
30Q555,2010,67.8,57.9,85.5,16.8,24.8,41.1,60.7,9.8,14.5,16.4,14.5
30Q575,2005,88.6,83.3,94.1,43,48.5,40.4,45.5,5.3,5.9,10.5,0.9
30Q575,2006,83.7,80.5,96.1,39.8,47.6,40.7,48.5,3.3,3.9,12.2,0.8
30Q575,2007,86.7,79.7,91.9,28,32.3,51.7,59.7,7,8.1,7.7,5.6
30Q575,2008,85.7,85.7,100,52.1,60.8,33.6,39.2,0,0,12.9,1.4
30Q575,2009,77.1,75.4,97.8,36.4,47.3,39,50.5,1.7,2.2,17.8,1.7
30Q575,2010,86.5,80.6,93.3,45.8,53,34.8,40.3,5.8,6.7,10.3,1.9
30Q580,2006,94.1,78.4,83.3,7.8,8.3,70.6,75,15.7,16.7,5.9,0
30Q580,2007,92.2,84.3,91.5,23.5,25.5,60.8,66,7.8,8.5,7.8,0
30Q580,2008,96.4,92.9,96.3,46.4,48.1,46.4,48.1,3.6,3.7,3.6,0
30Q580,2009,98.5,95.4,96.9,35.4,35.9,60,60.9,3.1,3.1,1.5,0
30Q580,2010,98.6,95.8,97.2,51.4,52.1,44.4,45.1,2.8,2.8,0,1.4
31R047,2009,94.6,82.8,87.5,19.4,20.5,63.4,67,11.8,12.5,5.4,0
31R047,2010,95,82.5,86.8,10,10.5,72.5,76.3,12.5,13.2,3.8,1.3
31R080,2005,100,74.4,74.4,43,43,31.4,31.4,25.6,25.6,0,0
31R080,2006,96,78,81.3,34,35.4,44,45.8,18,18.8,2,1
31R080,2007,92.3,81.7,88.5,41.3,44.8,40.4,43.8,10.6,11.5,5.8,1.9
31R080,2008,93.1,85.3,91.6,53.9,57.9,31.4,33.7,7.8,8.4,4.9,1
31R080,2009,97.3,82.9,85.2,39.6,40.7,43.2,44.4,14.4,14.8,1.8,0
31R080,2010,90.3,83.2,92.2,47.8,52.9,35.4,39.2,7.1,7.8,2.7,2.7
31R440,2005,54.9,32.5,59.1,14.7,26.8,17.7,32.3,22.4,40.9,33.1,9.8
31R440,2006,57.4,37.8,65.9,14,24.4,23.8,41.5,19.8,34.4,26.5,12.3
31R440,2007,59.6,39.3,66,17,28.6,22.3,37.4,20.3,34,28.4,10
31R440,2008,62.9,43.6,69.3,17.6,28,26,41.3,19.3,30.7,25.6,9.7
31R440,2009,66,49.6,75.2,14.7,22.3,34.9,52.9,16.4,24.8,17.6,9.6
31R440,2010,75.4,59.5,78.9,16.7,22.1,42.8,56.8,15.9,21.1,13.4,8.8
31R445,2005,62.8,43.3,69,13,20.8,30.3,48.2,19.5,31,23,13
31R445,2006,57,40.7,71.5,12.9,22.6,27.8,48.8,16.4,28.8,24.5,14.1
31R445,2007,62.3,44.4,71.3,12,19.2,32.4,52,17.9,28.7,26,9.3
31R445,2008,62.9,44.6,71,16.4,26.1,28.2,44.9,18.3,29,26,8.7
31R445,2009,56.4,40.3,71.5,9.7,17.2,30.6,54.2,16.1,28.5,22.8,9.4
31R445,2010,65.7,48.6,73.9,13.1,19.9,35.5,54,17.1,26.1,18.9,10.6
31R450,2005,68.9,53.6,77.8,20.4,29.6,33.2,48.2,15.3,22.2,19.7,9.9
31R450,2006,65.8,51,77.5,15.6,23.7,35.4,53.8,14.8,22.5,20.1,10.8
31R450,2007,69.2,60.4,87.2,21.6,31.2,38.8,56,8.8,12.8,18.9,9
31R450,2008,64.6,55.9,86.5,26.3,40.7,29.6,45.8,8.7,13.5,24.8,8.7
31R450,2009,70.7,62.2,87.9,20.6,29.1,41.6,58.8,8.5,12.1,18.8,8.1
31R450,2010,70.6,62.7,88.9,18.6,26.4,44.1,62.4,7.9,11.1,17.4,9.7
31R455,2005,76.2,60.3,79.1,26.3,34.5,34,44.6,16,21.1,12.3,9.4
31R455,2006,78.2,60.3,77.2,25.3,32.3,35.1,44.9,17.8,22.8,12.9,6.6
31R455,2007,76.4,60.9,79.7,21.4,28,39.5,51.7,15.5,20.3,14.6,8
31R455,2008,79,63.3,80.1,28.4,35.9,34.9,44.2,15.7,19.9,11.7,7.3
