DBN,Year,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %,Total Grads - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
01M134,2007,367,12,15.5,19.1,22.1,55,1.1,46,54,4.5,15.7,55.2,24.6,79.9,,,
01M134,2008,391,8.2,15.1,20.2,20.7,56.5,1,46.3,53.7,2,12.5,65.1,20.4,85.5,,,
01M134,2009,376,13,15.7,22.3,18.6,56.6,1.9,48.9,51.1,2.4,10.1,56.2,31.4,87.6,,,
01M134,2010,371,12.9,14,25.3,19.7,53.9,0.8,47.2,52.8,7.1,39.6,32,21.3,53.3,,,
01M134,2011,369,16.5,16.5,28.2,20.1,49.1,2.2,48,52,7.1,34.6,47.4,10.9,58.3,,,
01M137,2005,394,9.4,22.1,7.6,27.4,62.7,1.5,52,48,,,,,,,,
01M137,2006,255,11.8,22.4,8.6,27.5,62,1.2,51.8,48.2,18.7,34.1,36.9,10.3,47.2,,,
01M137,2007,242,15.3,26.9,8.7,31,58.3,0.4,52.9,47.1,8.3,28.1,52.1,11.6,63.6,,,
01M137,2008,213,16.9,23.9,11.3,29.6,55.9,2.3,50.7,49.3,4.2,19.8,71.9,4.2,76,,,
01M137,2009,224,16.1,22.8,13.8,25.4,56.7,1.8,49.1,50.9,1.2,21.7,57.8,19.3,77.1,,,
01M137,2010,232,16.8,21.1,17.2,26.7,54.3,1.7,50.4,49.6,7.8,48.1,31.2,13,44.2,,,
01M137,2011,230,14.8,23.5,18.3,24.8,53.5,3,48.3,51.7,15.7,39.3,33.7,11.2,44.9,,,
01M140,2005,502,13.1,23.9,4.8,12.9,80.1,2,51.2,48.8,,,,,,,,
01M140,2006,485,12.6,22.5,3.5,17.7,76.1,2.5,53,47,20.8,42.9,33,3.3,36.3,,,
01M140,2007,450,14.7,23.8,4.2,17.6,74.9,2.2,55.1,44.9,12.6,30,51.7,5.7,57.4,,,
01M140,2008,426,13.1,22.5,5.9,16.9,74.4,1.4,54.7,45.3,7.8,23.5,57.5,11.2,68.7,,,
01M140,2009,416,15.4,24.8,5,16.1,75.5,1.4,53.8,46.2,5.4,19.4,63.3,11.9,75.2,,,
01M140,2010,397,15.4,21.7,3.5,14.1,80.1,1.8,51.1,48.9,12.7,43.5,35.1,8.7,43.8,,,
01M140,2011,407,14.7,23.3,4.2,16.2,77.9,1.7,53.1,46.9,10.3,51.5,32.4,5.7,38.2,,,
01M142,2005,528,7.4,26.7,3.8,21.6,72.7,1.3,53.8,46.2,,,,,,,,
01M142,2006,441,6.3,24,4.5,20.2,71.7,1.8,50.6,49.4,13.8,31.2,50.7,4.3,55.1,,,
01M142,2007,450,11.6,25.1,4.2,19.6,73.6,2.4,49.6,50.4,9.7,28.4,54.5,7.4,61.9,,,
01M142,2008,438,9.4,21.7,3.9,18.7,74,2.1,49.5,50.5,5.9,19.8,64.7,9.6,74.3,,,
01M142,2009,416,10.8,22.1,5.8,14.9,73.6,3.8,48.6,51.4,1.6,12,66.7,19.8,86.5,,,
01M142,2010,430,11.6,22.6,6.3,13.5,75.3,3.3,48.1,51.9,7.1,44.6,42.9,5.4,48.4,,,
01M142,2011,433,12.2,22.4,7.9,13.4,74.1,2.8,48,52,6.5,42.5,43.5,7.5,51.1,,,
01M184,2005,451,17.3,3.5,82.5,7.1,4,5.8,55,45,,,,,,,,
01M184,2006,551,13.1,3.1,81.7,6.7,3.8,7.4,53.9,46.1,0,1.2,27.7,71.1,98.8,,,
01M184,2007,573,12,5.2,82.9,5.6,3.8,7.2,53.1,46.9,0,1.3,29.6,69.1,98.7,,,
01M184,2008,611,6.2,5.6,82.7,4.9,3.3,7.5,52.5,47.5,0,0.3,19.1,80.6,99.7,,,
01M184,2009,646,9.4,7.6,80.2,5.3,4.5,7.6,51.2,48.8,0,0,15.4,84.6,100,,,
01M184,2010,685,10.4,8,80.6,4.2,5.4,9.2,50.4,49.6,0,2.3,25.5,72.2,97.7,,,
01M184,2011,690,10.9,6.7,81,4.2,5.8,8.4,49.9,50.1,0,1.4,16.6,82,98.6,,,
01M188,2005,441,16.6,21.1,0.5,28.3,68.5,1.1,49.9,50.1,,,,,,,,
01M188,2006,430,11.9,22.6,0.9,32.8,65.3,0.5,50,50,23.3,47.7,26.7,2.3,29,,,
01M188,2007,414,14.7,22.9,2.4,31.9,64.7,0.7,51.9,48.1,9.2,31.4,52.8,6.6,59.4,,,
01M188,2008,406,15.5,22.7,1.7,31.5,66.3,0.5,45.6,54.4,6.5,21.9,62.7,8.8,71.5,,,
01M188,2009,387,17.6,22.7,2.3,30,65.4,1,48.1,51.9,1.2,21.2,66,11.6,77.6,,,
01M188,2010,401,13.7,21.7,1.2,30.2,64.1,4.2,52.6,47.4,17.1,54.7,22.1,6.2,28.3,,,
01M188,2011,388,16.8,19.3,2.6,26.8,65.7,4.9,54.4,45.6,12.9,41,32.9,13.3,46.2,,,
01M292,2005,294,9.9,19,11.6,36.1,45.2,3.4,54.4,45.6,,,,,,,,
01M292,2006,434,10.6,22.4,13.1,31.6,47.9,3.2,55.5,44.5,23.3,47.9,26.7,2.1,28.8,,,
01M292,2007,515,10.1,24.1,10.9,30.7,52.8,2.3,54.6,45.4,12.2,47.6,35.4,4.8,40.2,,,
01M292,2008,470,10.6,25.1,10,29.4,56.2,3,56.2,43.8,8,37.1,49.7,5.1,54.9,67.3,27.3,5.5
01M292,2009,511,15.9,21.9,10.2,27.6,56.8,3.1,58.1,41.9,7.4,27,60.8,4.7,65.5,67.2,14.1,14.1
01M292,2010,448,21.7,23.7,12.5,28.1,56.9,2,59.6,40.4,24.7,54.9,17.3,3.1,20.4,56.4,19.2,14.1
01M292,2011,422,22.3,24.9,14,29.1,53.8,1.7,61.4,38.6,27.6,50,15.5,6.9,22.4,,,
01M301,2005,96,6.3,15.6,6.3,26,59.4,7.3,49,51,,,,,,,,
01M301,2006,207,6.8,18.8,7.7,23.2,59.4,6.3,57,43,17.4,46.7,31.5,4.3,35.9,,,
01M301,2007,211,7.1,28,10.9,20.9,59.2,6.6,60.7,39.3,13.9,46,38,2.1,40.1,,,
01M301,2008,231,7.4,32.5,13.4,22.5,56.7,5.6,54.5,45.5,9.7,40.3,43.5,6.5,50,,,
01M301,2009,230,7.8,31.3,10.9,27.8,56.5,4.3,53.5,46.5,4.7,29.2,60.8,5.2,66,,,
01M301,2010,186,10.8,35.5,9.1,24.7,58.6,5.9,54.8,45.2,23,46.5,25.5,5,30.5,,,
01M301,2011,170,7.6,31.2,10,24.1,58.2,6.5,54.7,45.3,15.2,49.1,29.7,6.1,35.8,,,
01M315,2005,180,6.1,16.7,8.3,23.9,39.4,22.2,51.1,48.9,,,,,,,,
01M315,2006,169,3.6,12.4,8.9,22.5,33.1,27.2,48.5,51.5,14.8,36.4,44.3,4.5,48.9,,,
01M315,2007,163,7.4,20.9,8.6,19.6,28.8,31.9,54.6,45.4,6.2,24.6,63.1,6.2,69.2,,,
01M315,2008,174,5.2,16.1,9.8,19.5,24.7,29.9,52.3,47.7,0,24.6,58.5,16.9,75.4,,,
01M315,2009,191,4.7,18.8,12.6,17.8,23,31.9,57.1,42.9,2.1,6.3,77.1,14.6,91.7,,,
01M315,2010,212,3.3,22.6,8.5,13.2,31.6,37.3,59,41,7.8,23.5,49,19.6,68.6,,,
01M315,2011,244,2.9,21.7,10.7,12.3,28.3,41.4,59,41,1.7,22,45.8,30.5,76.3,,,
01M332,2005,161,3.1,19.3,6.8,19.9,70.8,2.5,51.6,48.4,,,,,,,,
01M332,2006,256,4.7,10.9,5.5,25,64.5,4.7,51.2,48.8,23.3,50.3,24.5,1.9,26.4,,,
