DBN,Year,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %,Total Grads - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
04M155,2010,386,39.6,20.5,1.8,16.3,81.1,0.8,54.9,45.1,14.6,42.7,33.1,9.6,42.7,,,
04M155,2011,355,37.5,19.7,3.7,14.6,81.1,0.6,54.9,45.1,15.5,49,32.9,2.6,35.5,,,
04M171,2005,532,1.9,11.3,2.3,34.4,61.3,1.5,49.8,50.2,,,,,,,,
04M171,2006,558,1.4,12.4,2.2,35.3,61.3,1.1,51.1,48.9,4.9,19.4,59.3,16.4,75.6,,,
04M171,2007,641,3.4,12.8,2.5,34.8,60.4,1.9,49.8,50.2,2.9,17.4,58.4,21.2,79.7,,,
04M171,2008,651,5.2,12.9,3.5,34.9,59.8,1.7,48.2,51.8,1.5,13.2,63.3,22,85.3,,,
04M171,2009,648,5.6,14.7,3.4,34,60.2,1.7,49.8,50.2,0,6.7,61.1,32.2,93.3,,,
04M171,2010,648,5.1,14,3.5,32.6,61.4,2,50.8,49.2,3.5,24.9,44.1,27.5,71.5,,,
04M171,2011,656,3,14.6,4.7,28.5,62.8,2.1,53.7,46.3,2.8,26.1,48.5,22.6,71.1,,,
04M182,2005,489,20.2,6.1,1.8,6.7,90.6,0,50.5,49.5,,,,,,,,
04M182,2006,424,22.6,9.4,1.2,7.5,91,0,50,50,0.3,8.8,61.4,29.5,90.8,,,
04M182,2007,435,26.9,9.4,0.7,8.5,90.6,0,47.6,52.4,1.8,7.8,54.8,35.5,90.3,,,
04M182,2008,428,25,9.1,0.5,7.7,90,0.5,48.8,51.2,0,2.7,57.7,39.5,97.3,,,
04M182,2009,438,28.8,9.8,0.5,10.7,86.3,0.7,48.9,51.1,1.4,0.9,46.8,50.9,97.7,,,
04M182,2010,382,28,8.6,1,9.2,89,0,48.2,51.8,2.6,25.2,44,28.2,72.2,,,
04M182,2011,365,28.2,7.9,1.1,8.5,90.1,0.3,48.2,51.8,2.9,32.8,49.5,14.7,64.2,,,
04M206,2005,411,11.7,24.3,1,32.1,65.5,1,46.2,53.8,,,,,,,,
04M206,2006,291,13.1,31.6,1,31.3,67,0.3,52.9,47.1,14,27.8,49,9.1,58.1,,,
04M206,2007,260,20.8,31.2,2.3,32.3,65,0,56.2,43.8,7.7,28.4,50.2,13.7,63.9,,,
04M206,2008,253,16.6,29.6,2.4,30,65.6,1.2,56.9,43.1,6.1,22.7,59.1,12.1,71.3,,,
04M206,2009,227,17.6,25.1,2.2,32.6,61.7,2.6,56.4,43.6,2.1,13.4,62.3,22.2,84.5,,,
04M206,2010,258,17.8,29.8,1.6,32.9,60.1,5.4,52.7,47.3,6.7,47.6,37.1,8.6,45.7,,,
04M206,2011,326,14.7,35.3,1.2,28.8,63.5,6.4,53.7,46.3,5.3,38.2,47.4,9.2,56.6,,,
04M224,2005,251,,7.6,5.2,33.5,37.8,22.3,45.8,54.2,,,,,,,,
04M224,2006,271,0.4,9.2,5.9,29.9,47.6,15.5,43.5,56.5,5.9,20.4,64.7,9,73.7,,,
04M224,2007,266,2.3,9.8,5.6,30.8,44,18.8,45.1,54.9,6.2,10.4,67.2,16.2,83.4,,,
04M224,2008,274,3.3,10.6,7.7,28.8,46.4,16.4,45.6,54.4,3.9,7,67.3,21.8,89.1,,,
04M224,2009,259,1.9,7.3,8.5,34.4,40.5,16.2,42.5,57.5,2,5.1,60.4,32.5,92.9,,,
04M224,2010,250,2.4,9.6,8,36.4,40,15.6,42.4,57.6,3.3,23.7,42.9,30.2,73.1,,,
04M224,2011,247,1.6,8.5,6.9,36,42.9,13,41.7,58.3,3.4,16,50,30.7,80.7,,,
04M277,2005,177,2.8,17.5,1.1,32.2,62.7,2.3,56.5,43.5,,,,,,,,
04M277,2006,90,2.2,18.9,2.2,35.6,61.1,1.1,53.3,46.7,,,,,,,,
04M277,2007,3,,0,0,0,100,0,66.7,33.3,,,,,,,,
04M372,2008,110,29.1,45.5,1.8,25.5,71.8,0.9,47.3,52.7,,,,,,,,
04M372,2009,202,22.8,40.1,2,27.7,69.8,0.5,49.5,50.5,11.9,46.4,41.7,0,41.7,,,
04M372,2010,280,28.2,34.6,2.1,23.9,73.2,0.4,49.6,50.4,19.9,59,17.3,3.8,21.2,,,
04M372,2011,243,25.5,33.7,1.2,24.7,72,1.2,51.4,48.6,10.6,56.6,26.1,6.6,32.7,,,
04M375,2008,328,14.3,25.3,3,29.9,64.3,0.9,54.3,45.7,,,,,,,,
04M375,2009,294,13.9,27.6,2.7,35.4,58.8,1,57.1,42.9,10.2,28.7,59.3,1.8,61.1,,,
04M375,2010,287,14.3,24.7,3.1,35.2,54,2.1,54.7,45.3,23,53.3,23,0.7,23.7,,,
04M375,2011,325,12,26.2,1.8,35.4,55.4,1.5,54.8,45.2,14.8,63.7,20.7,0.7,21.5,,,
04M377,2008,67,11.9,37.3,3,49.3,46.3,1.5,53.7,46.3,,,,,,,,
04M377,2009,124,10.5,31.5,0,43.5,53.2,2.4,54,46,8.8,43.9,42.1,5.3,47.4,,,
04M377,2010,200,10.5,30.5,1,46,50,1.5,54,46,11.9,55,27.5,5.5,33,,,
04M377,2011,194,5.2,33,1.5,45.4,51,1,53.1,46.9,23.7,54.2,20.3,1.7,22,,,
04M381,2008,86,9.3,36,2.3,48.8,47.7,1.2,62.8,37.2,,,,,,,,
04M381,2009,152,8.6,36.8,3.3,40.8,55.3,0.7,55.9,44.1,13.2,42.1,39.5,5.3,44.7,,,
04M381,2010,197,9.1,35.5,3,42.1,53.8,0.5,55.3,44.7,24.8,55,18.6,1.6,20.2,,,
04M381,2011,179,11.7,31.8,3.4,34.1,55.9,5.6,57.5,42.5,26.4,58.4,14,1.1,15.2,,,
04M406,2009,55,3.6,29.1,1.8,54.5,41.8,0,54.5,45.5,,,,,,,,
04M406,2010,122,9.8,28.7,0.8,45.1,50,3.3,55.7,44.3,9.3,44.4,33.3,13,46.3,,,
04M406,2011,168,7.1,27.4,2.4,47.6,47.6,1.2,56,44,4.5,35.7,45.5,14.3,59.8,,,
04M409,2005,418,8.6,15.1,1.4,32.5,59.6,3.6,41.9,58.1,,,,,,,,
04M409,2006,425,5.9,17.6,0.7,28.9,64.9,2.1,44.5,55.5,,,,,,,,
04M409,2007,425,7.5,17.6,0.9,32.5,64.9,0.9,45.9,54.1,,,,,,,,
04M409,2008,437,8,17.8,1.6,28.6,68.4,0.5,43.7,56.3,,,,,,,,
04M409,2009,385,9.6,17.4,0.5,30.4,66.5,0.8,42.1,57.9,,,,,,,,
04M409,2010,396,12.6,21.7,1.3,35.4,62.4,0.5,41.4,58.6,,,,,,68.4,10.5,13.2
04M409,2011,349,9.7,24.4,0.9,39.3,58.7,0.9,44.4,55.6,,,,,,,,
04M435,2005,1583,7.2,8.8,12.7,22.7,58.7,3.2,51.2,48.8,,,,,,66.4,22.5,7.5
04M435,2006,1523,6.1,8.7,16.3,20.8,57.8,2.8,50.6,49.4,,,,,,74.2,17.2,6.3
04M435,2007,1569,8,9.3,18.6,20,56.7,2.7,51,49,,,,,,79.4,11.8,7.2
04M435,2008,1675,5,8.2,20.3,20.8,54.7,3.2,48.2,51.8,,,,,,78,12.8,4.8
04M435,2009,1696,5.5,8,19.2,21.3,56,2.7,45.6,54.4,,,,,,86.4,8.9,2.2
04M435,2010,1711,4.3,6.4,19.9,20.4,57.2,2,46.1,53.9,,,,,,89.8,6.8,1.3
04M435,2011,1650,2.7,5.8,20.1,19.7,57.4,2.2,46.4,53.6,,,,,,,,
04M495,2005,346,5.2,10.1,0.6,43.6,54,0.6,43.1,56.9,,,,,,67.2,23,8.2
04M495,2006,383,3.1,11.5,0.8,42.8,52.7,1.3,43.1,56.9,,,,,,63.4,19.7,16.9
04M495,2007,384,6.8,16.1,1,43.5,52.1,2.1,42.7,57.3,,,,,,72.3,20.5,7.2
04M495,2008,375,6.7,14.7,1.6,41.1,53.3,2.4,40.3,59.7,,,,,,79.2,16.7,4.2
04M495,2009,367,7.6,15.5,1.9,40.1,54.2,1.9,43.1,56.9,,,,,,51.9,33.7,10.6
04M495,2010,360,5.8,13.1,3.1,36.9,58.9,0.8,41.4,58.6,,,,,,63,20.7,10.9
04M495,2011,349,4.3,10.6,4.9,33.2,59.6,0.3,42.1,57.9,,,,,,,,
04M497,2005,189,2.1,16.9,1.1,60.3,27,7.4,50.3,49.7,,,,,,,,
04M497,2006,188,3.7,13.3,1.6,52.7,26.1,16.5,47.3,52.7,24.2,44.2,30.5,1.1,31.6,,,
04M497,2007,189,1.6,14.8,2.6,50.3,26.5,18.5,49.7,50.3,10.3,42.6,42.6,4.4,47.1,,,
04M497,2008,201,0.5,15.4,5,44.3,21.4,21.4,44.8,55.2,4.7,28.1,56.3,10.9,67.2,,,
04M497,2009,204,0.5,16.7,4.9,38.2,24.5,24,46.1,53.9,0,12.7,63.5,23.8,87.3,,,
04M497,2010,207,1,16.9,5.3,35.3,29,22.7,47.8,52.2,8.8,33.8,44.1,13.2,57.4,,,
04M497,2011,208,1.9,16.3,7.2,28.8,33.2,25.5,49.5,50.5,1.4,37.1,38.6,22.9,61.4,,,
04M555,2005,328,4.9,17.4,3,43,50.6,1.5,52.1,47.9,,,,,,36.5,41.9,20.3
04M555,2006,306,5.6,14.7,3.3,39.9,52.6,2,52.3,47.7,,,,,,37.5,34.4,26.6
04M555,2007,311,9.6,19.6,3.2,36.3,55,2.9,50.8,49.2,,,,,,50,29.6,20.4
04M555,2008,328,7.9,16.2,3.7,35.7,57,3,46.6,53.4,,,,,,52.2,32.8,11.9
04M555,2009,332,6,14.8,4.8,31.9,58.4,2.1,44,56,,,,,,58.3,25,6.9
04M555,2010,404,4.5,14.1,5.7,29,62.6,1.5,33.7,66.3,,,,,,71.4,14.3,11.1
04M555,2011,445,4,13.5,6.5,26.7,64.5,1.6,32.1,67.9,,,,,,,,
04M610,2005,398,0.8,4,1.5,34.2,61.8,1.3,0,100,,,,,,96.8,3.2,0
04M610,2006,418,0.5,4.8,1.4,36.1,59.3,1.4,0,100,2.7,35.8,59.5,2,61.5,100,0,0
04M610,2007,406,1.7,5.4,2.7,34.2,58.4,1.5,0,100,0.7,25.7,63.2,10.5,73.7,98.4,1.6,0
04M610,2008,423,1.2,5.9,3.1,35.7,57.4,1.2,0,100,1.4,11.3,70.2,17,87.2,94.1,5.9,0
04M610,2009,437,1.6,6.2,4.1,34.1,58.4,0.7,0,100,0,10.5,74.1,15.4,89.5,98.3,1.7,0
04M610,2010,450,1.6,5.6,4.7,35.1,58.2,1.6,0,100,2.6,30.9,44.1,22.4,66.4,100,0,0
04M610,2011,449,2.2,6.7,5.1,31.2,60.1,1.6,0,100,0.7,17.2,50.3,31.8,82.1,,,
04M635,2005,651,4.5,16.4,1.1,30.6,66.8,1.2,53.6,46.4,,,,,,52.7,34.5,12.7
04M635,2006,714,4.3,17.2,0.4,31.9,66.9,0.4,53.8,46.2,,,,,,68.3,17.1,12.2
04M635,2007,666,6.9,17.6,1.2,32.6,65.2,0.5,53.5,46.5,,,,,,55.9,36.8,7.4
04M635,2008,558,8.6,18.8,1.8,31.9,64.5,0.5,55.2,44.8,,,,,,48.3,30.3,19.1
04M635,2009,437,11.7,15.8,2.7,32,62.2,0.9,56.3,43.7,,,,,,49.4,35.3,11.8
04M635,2010,307,14.3,16,3.6,31.3,63.8,0.7,56.4,43.6,,,,,,44,32,20
04M635,2011,192,13.5,18.8,4.2,27.6,65.6,2.1,62,38,,,,,,,,
04M680,2005,304,3.9,17.1,0.3,31.6,63.8,1,43.8,56.3,,,,,,55.8,28.8,13.5
04M680,2006,331,3.9,18.4,0.6,33.2,62.5,1.2,49.5,50.5,,,,,,70.8,18.1,9.7
04M680,2007,333,6.6,24.3,0.9,30.6,66.1,2.1,49.8,50.2,,,,,,51.7,28.3,18.3
04M680,2008,342,5.6,23.7,0.6,28.7,68.4,2,52.3,47.7,,,,,,57.6,27.1,11.9
04M680,2009,318,6.9,22,0.3,29.6,65.4,2.8,53.5,46.5,,,,,,54.8,36.9,8.3
04M680,2010,303,6.6,22.8,0.7,27.4,69.6,2,50.5,49.5,,,,,,64,26.7,9.3
04M680,2011,294,6.8,24.8,0.3,28.9,69.4,1,48.6,51.4,,,,,,,,
04M695,2005,322,2.8,17.4,0.9,57.8,38.5,1.6,50.9,49.1,,,,,,22.4,43.1,27.6
04M695,2006,337,2.4,16,0.9,57.9,38.3,1.2,42.7,57.3,,,,,,40.5,37.8,18.9
04M695,2007,196,3.1,15.3,1,56.1,41.3,1.5,41.8,58.2,,,,,,37.7,43.4,9.4
04M695,2008,96,3.1,12.5,1,53.1,42.7,2.1,39.6,60.4,,,,,,59.1,20.5,15.9
04M695,2009,42,7.1,9.5,0,57.1,42.9,0,31,69,,,,,,54.4,21.1,19.3
04M825,2005,267,5.2,11.6,0.7,24.3,72.7,0.7,54.7,45.3,,,,,,,,
04M825,2006,355,9.9,13,1.7,25.4,71.3,0.8,53.2,46.8,17.5,49.1,32.7,0.7,33.4,,,
04M825,2007,366,12,17.5,1.6,23,74.6,0.5,50.8,49.2,13.6,40.9,41.4,4.2,45.6,,,
04M825,2008,334,6.6,15.9,2.1,22.2,73.7,0.3,53,47,3.1,28,60.6,8.3,68.9,,,
04M825,2009,362,9.4,17.7,1.9,23.2,72.4,0.8,58,42,0.6,15.6,73.5,10.3,83.8,,,
04M825,2010,361,10.2,16.6,2.2,23,72.9,1.4,56.8,43.2,4.5,49.6,38,8,46,,,
04M825,2011,358,12,16.5,3.4,22.6,72.6,1.4,53.9,46.1,6.7,47.2,39.1,7,46.1,,,
04M964,2005,218,0,30.3,0.9,57.8,32.6,7.3,50,50,,,,,,,,
04M964,2006,203,0.5,29.1,0.5,51.7,34,11.8,49.8,50.2,40.9,30.4,23.5,5.2,28.7,,,
04M964,2007,189,0,28,2.1,52.9,32.8,9.5,53.4,46.6,13.2,23.7,56.6,6.6,63.2,,,
04M964,2008,196,2.6,27,1.5,54.1,26,12.8,53.1,46.9,13.9,26.6,48.1,11.4,59.5,,,
04M964,2009,218,5.5,20.6,2.3,49.1,22.9,15.1,51.4,48.6,8.6,21,50.6,19.8,70.4,,,
04M964,2010,227,3.5,12.3,2.2,43.6,26,17.6,49.3,50.7,9.1,37.7,39,14.3,53.2,,,
04M964,2011,240,2.1,16.2,2.9,41.2,26.2,22.1,48.7,51.2,6.9,19.4,50,23.6,73.6,,,
05M030,2005,432,4.6,24.5,0.5,61.6,35.6,1.2,54.2,45.8,,,,,,,,
05M030,2006,406,4.9,22.7,0.5,63.3,34,1.2,50.7,49.3,20.8,32.3,42,4.9,46.9,,,
05M030,2007,388,9.3,27.8,0.8,57.5,38.9,1.3,52.8,47.2,7.6,19.7,57.1,15.7,72.7,,,
05M030,2008,371,9.7,30.7,0.5,56.3,39.6,2.2,52,48,6.7,18,60.7,14.6,75.3,,,
05M030,2009,297,13.8,29.6,0.3,52.2,42.1,2.7,49.8,50.2,1.7,19.8,61,17.5,78.5,,,
05M030,2010,276,10.9,30.1,0,50.2,44.8,4.3,53.3,46.7,8.9,49.2,27.4,14.5,41.9,,,
05M030,2011,305,11.1,28.5,0,52.5,43.9,3.3,49.8,50.2,17.5,57,21.1,4.4,25.4,,,
05M036,2005,564,7.8,15.4,2.8,62.8,33.2,0.4,52.1,47.9,,,,,,,,
05M036,2006,543,9.8,14.5,2.8,57.6,35.7,1.7,55.2,44.8,,,,,,,,
05M036,2007,543,14,15.5,1.8,54.7,39,2.2,49.7,50.3,,,,,,,,
05M036,2008,503,13.3,17.1,1.8,53.5,41.7,2,48.7,51.3,,,,,,,,
05M036,2009,597,15.1,19.4,1.7,51.3,44.4,1.7,49.4,50.6,,,,,,,,
05M036,2010,641,13.7,18.7,1.2,53.8,43.2,1.7,47.7,52.3,12.7,46.1,31.4,9.8,41.2,,,
05M036,2011,623,11.6,17.8,0.8,53.8,43.8,1.1,48.2,51.8,13.1,38.3,40.3,8.3,48.5,,,
05M046,2005,894,9.2,10.9,0.6,60.9,37.2,1.2,52.8,47.2,,,,,,,,
05M046,2006,830,8.3,13.5,0.2,60.2,38.9,0.5,50.7,49.3,19.3,33,40.7,7,47.7,,,
05M046,2007,806,10.5,14,0.1,60.2,38.7,0.7,52.2,47.8,7.1,23.4,54.2,15.2,69.4,,,
05M046,2008,710,8.9,13.8,0.1,57.2,40.7,1.3,50.8,49.2,5.5,19.6,65.5,9.4,74.9,,,
05M046,2009,724,10.4,15.6,0.1,55.9,41.6,1.1,52.2,47.8,2.3,15.1,62,20.6,82.6,,,
05M046,2010,744,10.3,16.3,1.2,51.3,44.9,1.5,52.3,47.7,12.5,42.6,32.6,12.3,44.9,,,
05M046,2011,824,10.9,15.9,1.1,51.5,46.1,0.8,50.6,49.4,17.2,45.6,27.4,9.7,37.2,,,
05M092,2005,419,6.2,28.9,1.2,78.8,17.9,0.7,50.6,49.4,,,,,,,,
05M092,2006,354,8.2,28.5,1.7,76.6,20.9,0,51.1,48.9,26.3,28,36.9,8.9,45.8,,,
05M092,2007,323,12.7,24.5,3.1,71.5,24.8,0,51.4,48.6,13.3,20.4,46.4,19.9,66.3,,,
05M092,2008,310,13.9,25.8,2.6,71.9,23.9,1,50.3,49.7,5,17.6,66.7,10.7,77.4,,,
05M092,2009,287,13.9,23.7,2.4,70.7,25.1,1.7,51.9,48.1,2.7,18.2,59.5,19.6,79.1,,,
05M092,2010,298,15.1,21.5,2.7,64.4,30.9,2,50.3,49.7,17.2,42.5,29.1,11.2,40.3,,,
05M092,2011,280,14.3,21.4,2.1,62.1,32.9,1.8,53.2,46.8,13.1,43.4,33.8,9.7,43.4,,,
05M123,2005,654,13.8,15,0.9,71.3,26.1,0.9,52.1,47.9,,,,,,,,
05M123,2006,607,13.8,14.3,0.5,68.9,29.5,1,48.6,51.4,16.7,33.9,44.1,5.3,49.4,,,
05M123,2007,589,16,15.3,0.3,65.7,32.8,0.8,46.5,53.5,9.1,32.6,51.1,7.3,58.3,,,
05M123,2008,552,16.1,16.5,0.4,63.6,35,0.9,46,54,7.2,24.8,63.1,4.8,67.9,,,
05M123,2009,622,16.7,15.1,1.4,64.8,31.8,1.1,46.8,53.2,2.4,19.4,65.3,12.9,78.2,,,
05M123,2010,714,20,16.2,1.4,61.2,33.2,1.4,46.2,53.8,19.7,53.4,21.7,5.2,26.9,,,
05M123,2011,676,23.7,13.2,1,60.1,35.2,2.7,44.4,55.6,29.2,46.7,20.8,3.3,24.2,,,
05M125,2005,467,8.1,22.7,1.7,59.5,37,1.3,56.3,43.7,,,,,,,,
05M125,2006,423,11.3,20.8,2.1,60.3,35.9,0.7,50.6,49.4,25.6,26.8,41.3,6.2,47.6,,,
05M125,2007,404,12.6,21.5,3,61.9,33.4,1,54.5,45.5,12.8,32.1,47.4,7.7,55.1,,,
05M125,2008,393,11.5,22.6,2,62.3,33.1,1,53.4,46.6,9.2,25.8,51.6,13.5,65,,,
05M125,2009,238,13.4,23.1,4.6,63.9,29.4,0.8,56.3,43.7,7.1,20.4,54.6,18,72.6,,,
05M125,2010,235,15.3,18.7,3.8,54.5,34.9,3.4,54,46,24.4,43.3,23.3,8.9,32.2,,,
05M125,2011,201,15.4,20.4,4.5,45.3,39.8,4,50.7,49.3,14.8,39.8,38.9,6.5,45.4,,,
05M129,2005,516,9.9,12.2,1.6,51.4,45.7,0.4,53.9,46.1,,,,,,,,
05M129,2006,513,9,14.6,1.9,48.9,48,0.4,51.9,48.1,15.6,33.6,43.9,6.9,50.8,,,
05M129,2007,501,13.8,17,1.4,51.7,45.3,0.2,50.5,49.5,6.8,24.5,59.5,9.3,68.8,,,
05M129,2008,523,7.1,18.7,0.8,51.1,46.5,0.4,49.5,50.5,7.1,21.2,61,10.8,71.8,,,
05M129,2009,579,9.7,18.3,1.6,50.6,45.8,0.3,50.6,49.4,6.4,22,61.4,10.2,71.6,,,
05M129,2010,620,9.5,16.3,1.5,50,46.6,1.3,50.5,49.5,11.6,46.2,31.1,11,42.1,,,
05M129,2011,640,9.1,15.3,1.6,46.6,48.1,2.7,48.9,51.1,14.6,45.3,32.3,7.8,40.2,,,
05M133,2005,398,5.3,17.8,0.5,78.9,19.6,0.8,48.5,51.5,,,,,,,,
05M133,2006,344,7.3,23.8,0.6,74.7,23,0.9,52.6,47.4,27.2,30.7,39,3.1,42.1,,,
05M133,2007,345,9.3,24.6,0.9,75.7,22.3,1.2,53,47,13.5,31,50.3,5.3,55.6,,,
05M133,2008,322,7.5,22.4,2.5,72,22.7,2.5,50,50,11,26,55.5,7.5,63,,,
05M133,2009,319,7.8,27.6,2.5,69.3,24.1,0.9,57.7,42.3,8.9,18.4,62,10.8,72.8,,,
05M133,2010,304,8.2,22.7,1.3,66.1,29.6,1.3,57.9,42.1,14,51.2,30.2,4.7,34.9,,,
05M133,2011,284,8.5,20.8,3.2,63.4,29.9,0.7,54.2,45.8,4.3,56.9,32.8,6,38.8,,,
05M154,2005,478,11.1,14,0.8,72,25.9,0.8,50.8,49.2,,,,,,,,
05M154,2006,488,14.1,15.6,0.8,70.7,26.6,0.6,48.8,51.2,16.3,35.3,43.7,4.7,48.4,,,
05M154,2007,471,10.8,18.3,2.1,72.8,24.6,0.4,48.6,51.4,9.8,33.2,51.4,5.6,57,,,
05M154,2008,413,11.1,19.4,1.7,69.2,25.7,1.9,51.3,48.7,6.6,30.8,57.3,5.2,62.6,,,
05M154,2009,398,12.6,25.1,1,65.6,28.4,2.8,50.3,49.7,4.4,17.2,68.9,9.4,78.3,,,
05M154,2010,396,17.9,21.7,1,63.9,31.3,3.8,50.5,49.5,15.4,52.1,24.3,8.3,32.5,,,
05M154,2011,373,16.4,20.1,1.6,63,31.6,2.9,50.4,49.6,21.2,46.1,27.9,4.8,32.7,,,
05M161,2005,935,43.5,12,0.9,15.4,82.2,1,52.2,47.8,,,,,,,,
05M161,2006,885,39.3,13.4,1,14.8,82.7,1.1,51,49,8.8,26.1,51.7,13.4,65.1,,,
05M161,2007,848,39,14.7,1.2,14.7,82,1.8,52.8,47.2,5.9,18.9,58.5,16.6,75.2,,,
05M161,2008,797,33.1,13.2,1.3,13.6,82.6,2.4,51.3,48.7,5.9,16.7,57,20.4,77.4,,,
05M161,2009,886,36.2,17.4,2.1,12.4,83.5,0,52,48,4.1,11.4,60.7,23.7,84.5,,,
05M161,2010,934,36.6,17.9,1.9,13,83.9,0.9,52.7,47.3,10.4,45.6,33.2,10.8,44,,,
05M161,2011,953,30.6,16.8,2.1,14.9,80.4,1.7,53.2,46.8,10.4,45.6,37.1,7,44,,,
05M172,2005,638,10.2,18.2,0.8,66.9,30.7,0.3,53.3,46.7,,,,,,,,
05M172,2006,517,9.7,23.2,1,65.6,31.5,1,56.7,43.3,,,,,,,,
05M172,2007,284,13.7,30.6,1.1,58.8,37.3,2.1,61.6,38.4,,,,,,,,
05M172,2008,111,11.7,40.5,0.9,55,41.4,2.7,67.6,32.4,,,,,,,,
05M175,2005,382,7.1,7.6,1,81.9,14.1,0.5,50.5,49.5,,,,,,,,
05M175,2006,365,5.5,6.3,2.2,81.6,15.3,0.5,54.2,45.8,15.2,26.7,51,7.1,58.1,,,
05M175,2007,389,7.2,9,1.8,79.4,16.7,1.3,47.8,52.2,5.3,27.3,55.6,11.8,67.4,,,
05M175,2008,350,5.7,10.9,2.6,74.9,19.1,1.1,49.4,50.6,4.2,18.5,65.6,11.6,77.2,,,
05M175,2009,413,9.4,9.9,2.4,73.4,20.8,0.7,47.7,52.3,3.9,14.5,61.5,20.1,81.6,,,
05M175,2010,371,10.8,6.7,2.4,72.2,22.6,0.8,46.1,53.9,9.3,39,36.3,15.4,51.6,,,
05M175,2011,383,9.9,7.6,1,69.7,27.9,0.5,43.6,56.4,9,39.7,41,10.3,51.3,,,
05M194,2005,374,6.1,15,0,79.1,19.5,1.1,55.1,44.9,,,,,,,,
05M194,2006,338,8.6,18.6,0.3,81.4,18,0.3,54.7,45.3,11.4,36.8,40.8,10.9,51.7,,,
05M194,2007,295,12.9,17.3,0,76.6,21.7,1,53.6,46.4,20.3,26.4,45.2,8.1,53.3,,,
05M194,2008,280,12.5,21.1,0.4,71.8,25.4,1.1,52.1,47.9,17.1,34.1,44.5,4.3,48.8,,,
05M194,2009,282,16.3,27.7,0.7,67.4,28.4,0.7,51.8,48.2,6.4,32.6,51.1,9.9,61,,,
05M194,2010,290,18.3,23.1,1.4,65.2,31.4,1.4,49.7,50.3,32,47.3,16.7,4,20.7,,,
05M194,2011,285,17.2,23.9,1.4,60.7,33,3.2,51.6,48.4,35.5,46.1,15.8,2.6,18.4,,,
05M195,2005,972,16.9,17.9,1.2,44.5,52.9,1.1,52.4,47.6,,,,,,,,
05M195,2006,909,16.7,18.9,0.7,43.2,54.8,1,52.3,47.7,28.4,46.5,24,1.1,25.1,,,
05M195,2007,733,18.4,19.4,1.4,43,54.6,1,51.6,48.4,19.4,44.4,32.1,4,36.1,,,
05M195,2008,634,19.1,22.9,0.3,43.2,55,1.1,53,47,11.6,39,44.1,5.3,49.4,,,
05M195,2009,552,22.1,22.6,1.4,47.5,48.6,2.4,54,46,5.8,32.2,55.7,6.3,62,,,
05M195,2010,399,31.3,26.1,2.3,45.1,49.4,3.3,57.1,42.9,25.4,57.7,12.8,4,16.8,,,
05M195,2011,207,37.2,30.9,4.3,45.9,47.3,2.4,55.6,44.4,32.2,49.7,16.9,1.1,18,,,
05M197,2005,568,4,20.8,0.9,73.4,24.1,0.7,54.6,45.4,,,,,,,,
05M197,2006,572,4.2,23.6,1.4,75,22,0.9,53.5,46.5,17.5,37.6,38.7,6.1,44.8,,,
05M197,2007,556,5.9,21,1.1,71.4,25.7,1.4,54.9,45.1,13.8,26.4,49.4,10.3,59.8,,,
05M197,2008,490,5.5,20.4,0.4,69,28.4,1.6,54.9,45.1,8.5,25.8,59.6,6.1,65.7,,,
05M197,2009,370,6.5,23.5,1.6,65.9,27.6,2.4,57,43,3.5,10.6,65.8,20.1,85.9,,,
05M197,2010,375,6.9,20.3,0.5,66.9,28.3,2.9,54.7,45.3,3.6,45.4,37.1,13.9,51,,,
05M197,2011,351,7.7,19.9,0.6,66.4,26.5,4.6,53.3,46.7,15.6,54.9,27.2,2.3,29.5,,,
05M200,2005,814,11.9,11.2,0.5,70,28.4,1,50.4,49.6,,,,,,,,
05M200,2006,808,11.4,13,0.2,67.2,30.2,1.5,52,48,24.8,39.9,31.7,3.6,35.3,,,
05M200,2007,683,14.9,17.4,0.3,66.2,31.2,1.8,52.3,47.7,17.3,29.7,46.7,6.3,53,,,
05M200,2008,634,13.2,17.7,0.6,66.4,29.7,1.7,53.9,46.1,10,25.5,55.6,8.9,64.6,,,
05M200,2009,521,18.4,17.1,0.6,63.7,30.7,2.1,51.2,48.8,5.6,27,53.8,13.6,67.4,,,
05M200,2010,503,17.3,17.1,0.6,64.2,33.8,1.4,52.1,47.9,17.2,45.2,31,6.5,37.5,,,
05M200,2011,527,17.5,20.7,0.4,59.6,36.8,2.7,54.3,45.7,10.5,39.5,43.4,6.6,50,,,
05M275,2005,180,3.9,9.4,0.6,75,23.9,0,42.2,57.8,,,,,,,,
05M275,2006,3,,33.3,0,66.7,33.3,0,66.7,33.3,,,,,,,,
05M285,2005,211,4.3,5.2,0.9,52.1,45,0.5,41.7,58.3,,,,,,,,
05M285,2006,211,2.4,3.8,0.5,56.4,41.2,0.5,41.7,58.3,,,,,,2.1,75,22.9
05M285,2007,208,1.4,6.7,0,61.5,36.5,1,40.9,59.1,,,,,,5.6,54.9,39.4
05M285,2008,180,0,7.8,0,64.4,32.8,1.7,50.6,49.4,,,,,,3.9,67.5,28.6
